time/time_elapsed,train/n_updates,time/episodes,train/ent_coef,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,train/critic_loss
695,189,4,0.10000000149011612,200,0,50.0,0.0006535666666666666,33.707767249999996,-2.5654799938201904,0.008538063615560532
1394,389,8,0.10000000149011612,400,0,50.0,0.0006069,34.19377937499999,-5.248324871063232,0.0122782401740551
2140,589,12,0.10000000149011612,600,0,50.0,0.0005602333333333333,34.55950675,-8.125732421875,0.011042051948606968
2855,789,16,0.10000000149011612,800,0,50.0,0.0005135666666666667,34.7312813125,-11.00918197631836,0.00754805700853467
3555,989,20,0.10000000149011612,1000,0,50.0,0.0004669,34.83801525,-13.884066581726074,0.013086827471852303
4255,1189,24,0.10000000149011612,1200,0,50.0,0.0004202333333333334,34.954966041666665,-16.752405166625977,0.010528193786740303
4962,1389,28,0.10000000149011612,1400,0,50.0,0.00037356666666666673,35.00342896428571,-19.623130798339844,0.012392820790410042
5665,1589,32,0.10000000149011612,1600,0,50.0,0.0003269,35.034374875,-22.502914428710938,0.007713864091783762
6370,1789,36,0.10000000149011612,1800,0,50.0,0.00028023333333333333,34.993609916666664,-25.32817840576172,0.010930351912975311
7080,1989,40,0.10000000149011612,2000,0,50.0,0.00023356666666666666,34.997596275,-28.148670196533203,0.013667987659573555
7815,2189,44,0.10000000149011612,2200,0,50.0,0.00018690000000000002,34.96328740909091,-30.940509796142578,0.007680105045437813
8549,2389,48,0.10000000149011612,2400,0,50.0,0.00014023333333333334,34.98106102083333,-33.812599182128906,0.010285117663443089
9256,2589,52,0.10000000149011612,2600,0,50.0,9.35666666666667e-05,34.98356790384615,-36.64208221435547,0.009395084343850613
9958,2789,56,0.10000000149011612,2800,0,50.0,4.689999999999996e-05,34.969811535714285,-39.46784973144531,0.008532218635082245
