step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[5.699131774902344, 3.647178077697754]",[0.00458738 0.         0.         0.         0.        ],[9.5774434e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],[1.9154886e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.012881687842309475, 0.07245811820030212, 0.05103830248117447, 0.05725567042827606, 0.054309550672769547]","[0.0293001439422369, 0.08887657523155212, 0.06745675951242447, 0.07367412745952606, 0.07072801142930984]","[0.034180156886577606, 0.03033675253391266, 0.030574358999729156, 0.024994872510433197, 0.03185470029711723]",[0.01451799 0.01022347 0.00791962 0.00645195 0.00544188],0.06545096,0.028115362,"[6.502195167541504, 6.674698257446289, 6.493781471252442, 6.401477432250977, 6.369220542907715]","[6.436372756958008, 6.248899650573731, 6.388927268981933, 6.130912780761719, 6.311490249633789]",0.7891671728541247,0.0737033055682587,0.19972191682625642,0.24885315483833256,0.06890005869448708,0.1,0.04808451135884764,0.049904225567942384,
2,0,1,-0.46042657,"[3.6518529891967773, 4.1024901390075685]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0108184814453125, 0.0108184814453125, 0.0026702880859375, 0.0026702880859375, 0.0026702880859375]","[0.0272369384765625, 0.0272369384765625, 0.0190887451171875, 0.0190887451171875, 0.0190887451171875]","[0.02687777765095234, 0.02687777765095234, 0.02531111054122448, 0.02531111054122448, 0.02531111054122448]",[0.00491646 0.00486065 0.00480875 0.00476385 0.00473902],0.060879268,0.029651966,"[3.516526889801025, 2.667543506622314, 3.3447190284729, 3.783950138092041, 3.059174919128418]","[3.5643494606018065, 2.6792224884033202, 3.318119525909424, 3.8291820526123046, 3.1549030303955075]",0.7320462201764563,0.04150715889484613,0.2,0.25,0.07401709964012658,0.06652196164148352,0.05,0.05,
3,0,1,-0.918053,"[4.139597034454345, 1.566318964958191]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0146636962890625, 0.0064697265625, 0.0064697265625, 0.0064697265625, 0.0093536376953125]","[0.0310821533203125, 0.02288818359375, 0.02288818359375, 0.02288818359375, 0.0257720947265625]","[0.027355555444955826, 0.0285777784883976, 0.0285777784883976, 0.0285777784883976, 0.03709999844431877]",[0.00467774 0.00465829 0.00464176 0.00462535 0.00461376],0.057407845,0.030101534,"[1.137836503982544, 1.0232290029525757, 1.1178194999694824, 1.0602279663085938, 1.15590500831604]","[1.1206029891967773, 1.077817964553833, 1.0339300155639648, 1.091724967956543, 1.1676140308380127]",0.7062039947520286,0.01178835106000383,0.2,0.25,0.06707584473369135,0.07733979895833333,0.05,0.05,
4,0,1,-0.96694475,"[1.5907370090484618, 1.8344130516052246]",[0. 0. 0. 0. 0.],[0.02941176 0.02777778 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0093536376953125, 0.0021514892578125, 0.0021514892578125, 0.0021514892578125, 0.0021514892578125]","[0.0257720947265625, 0.0185699462890625, 0.0185699462890625, 0.0185699462890625, 0.0185699462890625]","[0.03709999844431877, 0.029711110517382622, 0.029711110517382622, 0.029711110517382622, 0.029711110517382622]",[0.00458851 0.00457457 0.00456428 0.00455848 0.00455166],0.054115634,0.030618958,"[0.8087004899978638, 0.7334699988365174, 0.6228514969348907, 0.5891090035438538, 0.4642539978027344]","[0.7908779978752136, 0.7154660105705262, 0.6424194991588592, 0.5966300070285797, 0.45662300139665607]",0.6713449270619709,0.004269082328279562,0.2,0.25,0.06707584473369135,0.1,0.05,0.0,
5,1,1,0.6265404,"[1.8618629932403565, 1.9392250537872315]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00409836],[0. 0. 0. 0. 0.],"[0.00946044921875, 0.008880615234375, 0.00830078125, 0.00830078125, 0.00830078125]","[0.02587890625, 0.025299072265625, 0.02471923828125, 0.02471923828125, 0.02471923828125]","[0.03378888964653015, 0.0318722240626812, 0.029955554753541946, 0.029955554753541946, 0.029955554753541946]",[0.00444663 0.00432888 0.00425532 0.00420673 0.00414594],0.052030113,0.030427111,"[5.208430862426758, 8.161548423767089, 8.784484100341796, 10.0, 8.225392150878905]","[5.40269775390625, 7.411502647399902, 8.448629760742188, 9.607699966430664, 8.799871826171875]",0.7240882150195748,0.0864536000203373,0.2,0.25,0.0691527058633086,0.022580269791666663,0.05,0.0459016393442623,
6,1,1,0.8255112,"[1.961137056350708, 2.659888982772827]",[0.04449097 0.00245098 0.         0.         0.        ],[0.00291956 0.         0.         0.         0.        ],[0.         0.00136054 0.         0.         0.        ],"[0.009572346694767475, 0.02315775491297245, 0.0282745361328125, 0.015533447265625, 0.0]","[0.02348836325109005, 0.0370737724006176, 0.0421905517578125, 0.029449462890625, 0.013916015625]","[0.038551852107048035, 0.03812963142991066, 0.0386962965130806, 0.04318518564105034, 0.04533333331346512]",[0.01921296 0.02620586 0.02537179 0.02458863 0.02395206],0.049291525,0.029648574,"[5.534725952148437, 9.496687126159667, 10.0, 9.038236808776855, 10.0]","[5.656736564636231, 9.165737724304199, 10.0, 8.862227821350098, 10.0]",0.7396190073674083,0.09186838207503789,0.2,0.23826451216445751,0.06240567418700885,0.1,0.0,0.04708043894090406,
7,1,1,0.21327162,"[2.6882890701293944, 3.116365909576416]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0119476318359375, 0.0119476318359375, 0.01293182373046875, 0.013916015625, 0.013916015625]","[0.0258636474609375, 0.0258636474609375, 0.02684783935546875, 0.02783203125, 0.02783203125]","[0.03739999979734421, 0.03739999979734421, 0.03956666588783264, 0.041733331978321075, 0.041733331978321075]",[0.02315688 0.02285994 0.02257679 0.02241757 0.02228327],0.047766164,0.02919396,"[7.7328802108764645, 7.12077693939209, 5.459324836730957, 6.832116889953613, 5.821029090881348]","[7.728935432434082, 6.787138175964356, 5.702063751220703, 7.0823619842529295, 5.451581192016602]",0.7658381666917918,0.07459820807304694,0.2,0.25,0.0643722954243003,0.07686766319444445,0.05,0.05,
8,1,1,0.45899308,"[3.148427963256836, 3.3247410774230954]",[0.         0.02659575 0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.010009765625, 0.0361175537109375, 0.0361175537109375, 0.0361175537109375, 0.0361175537109375]","[0.02392578125, 0.0500335693359375, 0.0500335693359375, 0.0500335693359375, 0.0500335693359375]","[0.03952222317457199, 0.03646666556596756, 0.03646666556596756, 0.03646666556596756, 0.03646666556596756]",[0.02174486 0.02179398 0.02149004 0.02134924 0.02118025],0.047497846,0.02842044,"[8.380513954162597, 8.13419246673584, 7.432831573486328, 7.658062744140625, 6.953902053833008]","[6.9726057052612305, 8.11694564819336, 7.347079277038574, 7.625798988342285, 6.984192276000977]",0.7643830814176633,0.08367020083641574,0.1833787452517532,0.24335106382978725,0.06563593608304034,0.08834713541666667,0.05,0.05,
9,1,1,0.087249994,"[3.3558461189270017, 3.8791621208190916]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.022003173828125, 0.0213470458984375, 0.02069091796875, 0.02069091796875, 0.0244140625]","[0.035919189453125, 0.0352630615234375, 0.03460693359375, 0.03460693359375, 0.038330078125]","[0.038633331656455994, 0.03772222250699997, 0.03681110963225365, 0.03681110963225365, 0.03925555571913719]",[0.02072282 0.02049496 0.02040536 0.02030006 0.02020546],0.046881605,0.02779382,"[6.788799285888672, 5.872921752929687, 6.024483871459961, 4.191972923278809, 6.635867881774902]","[5.9341230392456055, 5.87514705657959, 6.239164161682129, 4.067947006225586, 6.659550285339356]",0.7655054073429891,0.0685586214297691,0.2,0.25,0.06579148903822,0.08115529687499999,0.05,0.05,
10,2,1,0.87014484,"[3.91635799407959, 4.294114875793457]",[0. 0. 0. 0. 0.],[0.         0.00320513 0.         0.         0.00900901],[0. 0. 0. 0. 0.],"[0.027252197265625, 0.0136260986328125, 0.0, 0.0142669677734375, 0.0142669677734375]","[0.038330078125, 0.0247039794921875, 0.011077880859375, 0.0253448486328125, 0.0253448486328125]","[0.03925555571913719, 0.03849999979138374, 0.037744443863630295, 0.03556666523218155, 0.03556666523218155]",[0.01978208 0.01945704 0.01916255 0.01894979 0.01881652],0.045641188,0.027615162,"[8.632995796203613, 9.612160301208496, 9.765133476257324, 6.074171829223633, 9.081814193725586]","[8.709667205810547, 9.186549377441406, 10.0, 5.894599723815918, 10.0]",0.7657047381133385,0.09056953316425571,0.2,0.25,0.06579148903822,0.071557853125,0.05,0.03778586278586279,
