step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[6.095412063598633, 10.0]",[0.         0.         0.00628931 0.         0.        ],[0.         0.00051975 0.00040274 0.00069092 0.        ],[1.7636685e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.011400495655834675, 0.01861572265625, 0.014441857114434242, 0.013426560908555984, 0.018943199887871742]","[0.0172598697245121, 0.02447509765625, 0.020301232114434242, 0.019285935908555984, 0.024802574887871742]","[0.02935872972011566, 0.028724785894155502, 0.02933247946202755, 0.031077777966856956, 0.03072136826813221]",[0.         0.         0.00071485 0.00114743 0.0009778 ],0.021164864,0.0072460463,"[6.95495834350586, 6.437913703918457, 6.640832328796387, 7.212430381774903, 6.421619033813477]","[6.871638488769531, 6.390780639648438, 6.713995552062989, 6.982558631896973, 6.201595497131348]",0.7870891229807266,0.07578236419634873,0.19996996157732244,0.24375024722123334,0.07096362434615658,0.1,0.048236331569664906,0.04838659407000068,
2,0,1,-0.46042657,"[5.725758743286133, 6.665690040588379]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.034332275390625, 0.034332275390625, 0.03781890869140625, 0.0413055419921875, 0.0413055419921875]","[0.040191650390625, 0.040191650390625, 0.04367828369140625, 0.0471649169921875, 0.0471649169921875]","[0.028966667130589485, 0.028966667130589485, 0.027611110359430313, 0.02625555545091629, 0.02625555545091629]",[0.00088352 0.00087313 0.0008638  0.00085526 0.00085307],0.023504514,0.009655113,"[4.914774036407471, 3.9716641426086423, 3.1859694480895993, 3.154277896881103, 3.7355490684509274]","[4.900838565826416, 3.7988100051879883, 3.046408462524414, 3.1188638687133787, 3.7924038887023923]",0.706729112346381,0.047449741433584824,0.16745977398900985,0.25,0.07245609565318188,0.0693635012706044,0.05,0.05,
3,0,1,-0.918053,"[6.749835014343262, 7.770664024353027]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0130157470703125, 0.0195465087890625, 0.02570343017578125, 0.0318603515625, 0.0318603515625]","[0.0188751220703125, 0.0254058837890625, 0.03156280517578125, 0.0377197265625, 0.0377197265625]","[0.02974444441497326, 0.029633333906531334, 0.029277777299284935, 0.028922222554683685, 0.028922222554683685]",[0.00084232 0.00083882 0.00083596 0.00083403 0.00083275],0.023981234,0.009588904,"[1.017062497138977, 1.2433694839477538, 0.9464440107345581, 0.8803400039672852, 0.8076300024986267]","[0.9927430152893066, 1.253107476234436, 0.9424130082130432, 0.9055879950523377, 0.8243020057678223]",0.7024502814847945,0.00986032607093843,0.2,0.25,0.07189701478885602,0.070692940625,0.05,0.05,
4,0,1,-0.96694475,"[7.866940879821778, 9.144266891479493]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0318603515625, 0.0196380615234375, 0.01850128173828125, 0.017364501953125, 0.017364501953125]","[0.0377197265625, 0.0254974365234375, 0.02436065673828125, 0.023223876953125, 0.023223876953125]","[0.028922222554683685, 0.02696666680276394, 0.02504444494843483, 0.02312222309410572, 0.02312222309410572]",[0.00082808 0.00082605 0.00082409 0.00082284 0.00082185],0.02431183,0.009378423,"[0.7241884827613831, 0.651411497592926, 0.6461265087127686, 0.5929690062999725, 0.5351999998092651]","[0.7280780076980591, 0.625546008348465, 0.6550029933452606, 0.583297997713089, 0.555333000421524]",0.7265222631538122,0.004033876863096558,0.2,0.25,0.07248838629071554,0.1,0.05,0.05,
5,1,1,0.6265404,"[9.239767837524415, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0239715576171875, 0.0239715576171875, 0.01720428466796875, 0.01043701171875, 0.01043701171875]","[0.0298309326171875, 0.0298309326171875, 0.02306365966796875, 0.01629638671875, 0.01629638671875]","[0.03117777779698372, 0.03117777779698372, 0.03085000067949295, 0.030522221699357033, 0.030522221699357033]",[0.0008063  0.00078624 0.00076873 0.0007563  0.00074252],0.024348045,0.009181197,"[5.487285614013672, 8.178248214721679, 9.775974464416503, 7.061058235168457, 7.398039817810059]","[5.44909725189209, 8.432125663757324, 9.617073249816894, 7.32347412109375, 6.749258804321289]",0.7311408248433728,0.08264331165563013,0.2,0.25,0.07089482672940924,0.027602686458333338,0.05,0.05,
6,1,1,0.8255112,"[8.175675010681152, 8.171282768249512]",[0.00364299 0.00628931 0.         0.         0.        ],[0.00032499 0.         0.         0.         0.0018797 ],[0. 0. 0. 0. 0.],"[0.0547383613884449, 0.0686543807387352, 0.0683135986328125, 0.082977294921875, 0.082977294921875]","[0.0605977363884449, 0.0745137557387352, 0.0741729736328125, 0.088836669921875, 0.088836669921875]","[0.032648149877786636, 0.039759259670972824, 0.040566667914390564, 0.03720000013709068, 0.03720000013709068]",[0.00171316 0.0026709  0.00265463 0.00260834 0.00254861],0.029955776,0.018638704,"[9.15416316986084, 9.552469062805176, 9.72435703277588, 8.260407638549804, 9.75174560546875]","[9.30229434967041, 9.68513069152832, 9.813295936584472, 8.719702529907227, 9.283738899230958]",0.7023549256977839,0.09520265693487386,0.12195420698686082,0.24016635506677703,0.06503334922148439,0.08220304861111112,0.05,0.04779530887667658,
7,1,1,0.21327162,"[8.298668098449706, 9.572880172729493]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0770263671875, 0.071075439453125, 0.071075439453125, 0.071075439453125, 0.071075439453125]","[0.0828857421875, 0.076934814453125, 0.076934814453125, 0.076934814453125, 0.076934814453125]","[0.02953333407640457, 0.02186666615307331, 0.02186666615307331, 0.02186666615307331, 0.02186666615307331]",[0.00246791 0.00243919 0.00241255 0.00240548 0.0023872 ],0.032868214,0.021469686,"[8.32315673828125, 5.969139099121094, 6.890770149230957, 6.560047912597656, 6.642952919006348]","[8.422644805908202, 6.022310066223144, 6.892713928222657, 7.095944976806641, 6.459513282775879]",0.7505472479307345,0.07698032905856217,0.17663816794370993,0.25,0.07204765960901782,0.07488109131944445,0.05,0.05,
8,1,1,0.45899308,"[9.659466743469238, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0125732421875, 0.008331298828125, 0.008331298828125, 0.008331298828125, 0.0075531005859375]","[0.0184326171875, 0.014190673828125, 0.014190673828125, 0.014190673828125, 0.0134124755859375]","[0.03275555372238159, 0.030388887971639633, 0.030388887971639633, 0.030388887971639633, 0.03127777948975563]",[0.00232791 0.00229419 0.00225531 0.00223164 0.00222082],0.031734496,0.021224465,"[8.289712524414062, 8.124620056152343, 8.461376762390136, 6.792349243164063, 7.952765846252442]","[7.922144889831543, 8.331890869140624, 7.8464765548706055, 7.238410186767578, 8.464908981323243]",0.794226775588632,0.08530240971092455,0.2,0.25,0.06983011066937397,0.08909425520833335,0.05,0.05,
9,1,1,0.087249994,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0103912353515625, 0.00958251953125, 0.004791259765625, 0.0, 0.0]","[0.0134124755859375, 0.012603759765625, 0.0078125, 0.003021240234375, 0.003021240234375]","[0.03127777948975563, 0.027888888493180275, 0.025049999356269836, 0.022211110219359398, 0.022211110219359398]",[0.00216993 0.00214788 0.00211974 0.00210556 0.00209768],0.03037979,0.021294277,"[9.060238647460938, 5.563548469543457, 7.381591796875, 6.1550397872924805, 6.38227481842041]","[8.599577903747559, 5.62586784362793, 7.147793579101562, 6.544675064086914, 6.878975868225098]",0.7874864032752191,0.07723964942460695,0.2,0.25,0.07082619135061193,0.08942056250000002,0.05,0.05,
10,2,1,0.87014484,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.024383544921875, 0.024383544921875, 0.0273895263671875, 0.0273895263671875, 0.0273895263671875]","[0.02740478515625, 0.02740478515625, 0.0304107666015625, 0.0304107666015625, 0.0304107666015625]","[0.03195555508136749, 0.03195555508136749, 0.03142222389578819, 0.03142222389578819, 0.03142222389578819]",[0.00205288 0.00201814 0.00198757 0.00195842 0.00194389],0.030296272,0.020687265,"[6.791387367248535, 10.0, 8.77989673614502, 10.0, 8.981488990783692]","[7.140942001342774, 10.0, 8.871661758422851, 10.0, 9.45859489440918]",0.771376815053641,0.09255614379038542,0.1793098179161126,0.25,0.07036518563880952,0.07914566770833334,0.05,0.05,
