step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[6.1240949630737305, 10.0]",[0. 0. 0. 0. 0.],[0.00028417 0.00089055 0.         0.         0.        ],[2.0567668e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.004477108363062143, 0.02007877081632614, 0.028658699244260788, 0.032917022705078125, 0.029976844787597656]","[0.007528866175562143, 0.02313052862882614, 0.03171045705676079, 0.035968780517578125, 0.033028602600097656]","[0.0340392142534256, 0.027452941983938217, 0.0272444449365139, 0.02802083268761635, 0.0283215269446373]",[0. 0. 0. 0. 0.],0.026075248,0.012562852,"[7.0453763961792, 6.7400451660156255, 6.9420654296875, 6.8873804092407225, 6.74925537109375]","[6.7504987716674805, 6.568814086914062, 6.9746238708496096, 6.896805191040039, 6.6572814941406255]",0.7953950524375157,0.07694394364666947,0.19990090066705674,0.25,0.06899082994578894,0.1,0.049794323323735096,0.04976505485426558
2,0,1,-0.46042657,"[10.0, 10.0]",[0.        0.        0.        0.        0.3283582],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.04736328125, 0.04736328125, 0.04736328125, 0.04736328125, 0.0421600341796875]","[0.0504150390625, 0.0504150390625, 0.0504150390625, 0.0504150390625, 0.0452117919921875]","[0.025566667318344116, 0.025566667318344116, 0.025566667318344116, 0.025566667318344116, 0.028200000524520874]",[0.        0.        0.        0.        0.0023408],0.027399063,0.013348982,"[8.815284156799317, 6.008288764953614, 5.249114036560059, 3.2097680091857907, 3.402348041534424]","[9.583341789245605, 6.224242782592774, 5.386792182922363, 2.9980408668518064, 3.2755148887634276]",0.6541631975837419,0.063321413164679,0.16591139400706573,0.16791044776119401,0.07301852487353593,0.08400141777726716,0.05,0.05
3,0,1,-0.918053,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0421600341796875, 0.05106353759765625, 0.059967041015625, 0.059967041015625, 0.059967041015625]","[0.0452117919921875, 0.05411529541015625, 0.063018798828125, 0.063018798828125, 0.063018798828125]","[0.028200000524520874, 0.02773333340883255, 0.027266666293144226, 0.027266666293144226, 0.027266666293144226]",[0.00232454 0.00231701 0.00231111 0.00230427 0.00230065],0.029810905,0.015281547,"[1.8099229812622069, 0.9308929920196534, 1.0462374925613402, 1.0979170083999634, 1.0313520193099976]","[1.7124989986419679, 0.906047010421753, 1.0765694856643677, 1.097337007522583, 1.0568430185317994]",0.6706355584457201,0.013119904069824115,0.17776479721069338,0.25,0.07301852487353593,0.056732332291666666,0.05,0.05
4,0,1,-0.96694475,"[0.759322988986969, 0.8759049892425537]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0593109130859375, 0.0593109130859375, 0.0593109130859375, 0.0469970703125, 0.0469970703125]","[0.0623626708984375, 0.0623626708984375, 0.0623626708984375, 0.050048828125, 0.050048828125]","[0.024355554953217506, 0.024355554953217506, 0.024355554953217506, 0.024977777153253555, 0.024977777153253555]",[0.00229465 0.00229053 0.00228512 0.00228038 0.00227708],0.03224923,0.016727684,"[0.8979415178298951, 0.7309894919395448, 0.666030502319336, 0.6612449944019319, 0.5925100088119507]","[0.816803014278412, 0.7357579946517945, 0.6640789985656739, 0.6653870046138763, 0.5844760060310363]",0.7185646628100114,0.00539579670006274,0.18764561244419645,0.25,0.07552325366575224,0.1,0.05,0.05
5,1,1,0.6265404,"[0.8867569923400879, 0.9707909941673278]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0501708984375, 0.0428314208984375, 0.0428314208984375, 0.0428314208984375, 0.0428314208984375]","[0.05322265625, 0.0458831787109375, 0.0458831787109375, 0.0458831787109375, 0.0458831787109375]","[0.02401111088693142, 0.021522222086787224, 0.021522222086787224, 0.021522222086787224, 0.021522222086787224]",[0.00224539 0.00220982 0.00216682 0.00211857 0.00208947],0.03345436,0.01659529,"[5.228508377075196, 8.959322929382324, 8.253362655639648, 8.904944610595702, 9.086529159545899]","[5.106542110443115, 9.008110809326173, 8.112881278991699, 9.175686645507813, 9.535091781616211]",0.7360179342759517,0.08653320673203795,0.2,0.25,0.07632629212724706,0.023158435416666668,0.05,0.05
6,1,1,0.8255112,"[0.9819869995117188, 1.5061450004577637]",[0.         0.00618557 0.03525424 0.         0.01997579],[0.         0.00261087 0.00144421 0.00304878 0.00110132],[0. 0. 0. 0. 0.],"[0.044158935546875, 0.02335815504193306, 0.014416503719985485, 0.0177001953125, 0.01129150390625]","[0.047210693359375, 0.02640991285443306, 0.01746826246380806, 0.020751953125, 0.01434326171875]","[0.029355555772781372, 0.028735555708408356, 0.02898888848721981, 0.02943333424627781, 0.02836666628718376]",[0.00198817 0.0021927  0.00352914 0.00419791 0.00524524],0.032187022,0.01649541,"[9.553751945495605, 9.511566734313964, 9.843269729614258, 9.545848655700684, 9.780838203430175]","[9.687470436096191, 9.698071670532226, 9.705355834960937, 9.499935531616211, 10.0]",0.7865175053925416,0.09764857172849802,0.2,0.2346461021941539,0.07211930177823137,0.08374456739583332,0.05,0.04835896229582495
7,1,1,0.21327162,"[1.518599033355713, 1.737532949447632]",[0.         0.02469136 0.         0.         0.        ],[0.        0.        0.0027933 0.        0.       ],[0. 0. 0. 0. 0.],"[0.02001953125, 0.01789093017578125, 0.0157623291015625, 0.022674560546875, 0.0295867919921875]","[0.0230712890625, 0.02094268798828125, 0.0188140869140625, 0.025726318359375, 0.0326385498046875]","[0.02576666697859764, 0.026377778500318527, 0.026988888159394264, 0.028211111202836037, 0.02943333424627781]",[0.00589102 0.00590108 0.00590182 0.00581433 0.00575476],0.031639516,0.016175149,"[9.355059623718262, 6.464995574951172, 7.70385856628418, 8.40244026184082, 8.12166976928711]","[9.622382164001465, 6.549756813049316, 7.3355298995971685, 8.087008476257324, 8.147727966308594]",0.7842829831375914,0.08595195435424319,0.2,0.24382716049382716,0.07211930177823137,0.08294322572916667,0.05,0.04944134078212291
8,1,1,0.45899308,"[1.7731960296630858, 2.065544939041138]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0578460693359375, 0.0578460693359375, 0.04425811767578125, 0.030670166015625, 0.030670166015625]","[0.0608978271484375, 0.0608978271484375, 0.04730987548828125, 0.033721923828125, 0.033721923828125]","[0.024222223088145256, 0.024222223088145256, 0.02584444358944893, 0.02746666595339775, 0.02746666595339775]",[0.00568825 0.0056133  0.00554381 0.00548826 0.00545513],0.03263003,0.016581351,"[8.58254337310791, 6.310685729980469, 8.321631240844725, 7.534587860107422, 7.753310775756836]","[8.230315399169921, 6.295779228210449, 8.215466690063476, 7.340018844604493, 7.500078773498536]",0.7767386640874857,0.08358218003155321,0.16958878752473114,0.25,0.07356769653120132,0.1,0.05,0.05
9,1,1,0.087249994,"[1.962267017364502, 2.268438959121704]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00401606],[0. 0. 0. 0. 0.],"[0.030670166015625, 0.0337982177734375, 0.0339508056640625, 0.0341033935546875, 0.0341033935546875]","[0.033721923828125, 0.0368499755859375, 0.0370025634765625, 0.0371551513671875, 0.0371551513671875]","[0.02746666595339775, 0.03096666745841503, 0.028227778151631355, 0.02548888884484768, 0.02548888884484768]",[0.0053761  0.005331   0.00528367 0.00523609 0.00519058],0.03283214,0.016142007,"[6.885422325134278, 5.328548622131348, 6.6689355850219725, 5.612884521484375, 6.4912008285522464]","[6.81334457397461, 5.19937858581543, 6.478309631347656, 5.52805290222168, 6.922716903686523]",0.7757595498734404,0.07118035385514405,0.2,0.25,0.07104025782803537,0.08434215104166666,0.05,0.04919678714859438
10,2,1,0.87014484,"[2.2886040210723877, 2.6589630126953123]",[0.01465201 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.033111572265625, 0.0321197509765625, 0.0321197509765625, 0.0323638916015625, 0.0326080322265625]","[0.036163330078125, 0.0351715087890625, 0.0351715087890625, 0.0354156494140625, 0.0356597900390625]","[0.03096666745841503, 0.036444444209337234, 0.036444444209337234, 0.03263888880610466, 0.028833333402872086]",[0.00524479 0.00531511 0.00522907 0.00514179 0.00509367],0.03297176,0.015725879,"[6.925980758666992, 8.913788604736329, 8.098161315917968, 9.54029483795166, 10.0]","[6.5739593505859375, 9.245342254638672, 7.97998275756836, 9.683287620544434, 10.0]",0.7783983501361561,0.09101995612480074,0.19958829657976018,0.24633699633699635,0.06747650421959876,0.07397659687500001,0.05,0.05
