rollout/ep_len_mean,train/actor_loss,time/episodes,time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,train/learning_rate,time/fps,train/n_updates
50.0,-3.0434226989746094,4,200,0.10000000149011612,38.25722025,0.002174988854676485,595,0.00067214,0,189
50.0,-5.949419975280762,8,400,0.10000000149011612,38.34342587500001,0.0022537019103765488,1199,0.00064414,0,389
50.0,-9.111433982849121,12,600,0.10000000149011612,38.34700583333335,0.0022273464128375053,1816,0.0006161399999999999,0,589
50.0,-12.293132781982422,16,800,0.10000000149011612,38.359345812499996,0.0034543038345873356,2415,0.00058814,0,789
50.0,-15.475526809692383,20,1000,0.10000000149011612,38.345441949999994,0.007357185240834951,3021,0.00056014,0,989
50.0,-18.68312644958496,24,1200,0.10000000149011612,38.3527705,0.004568018950521946,3627,0.00053214,0,1189
50.0,-21.78243064880371,28,1400,0.10000000149011612,38.3715677857143,0.015065258368849754,4233,0.0005041399999999999,0,1389
50.0,-25.046539306640625,32,1600,0.10000000149011612,38.39206890625,0.004109781701117754,4847,0.00047614,0,1589
50.0,-28.210628509521484,36,1800,0.10000000149011612,38.418880083333335,0.004114133305847645,5448,0.00044814,0,1789
50.0,-31.392677307128906,40,2000,0.10000000149011612,38.535497175,0.006734348833560944,6064,0.00042014000000000005,0,1989
50.0,-34.55611038208008,44,2200,0.10000000149011612,38.646861,0.005944171920418739,6664,0.00039214,0,2189
50.0,-37.72001266479492,48,2400,0.10000000149011612,38.735837708333335,0.007462789304554462,7266,0.00036414,0,2389
50.0,-40.87080764770508,52,2600,0.10000000149011612,38.81220844230769,0.00641532801091671,7872,0.00033613999999999996,0,2589
50.0,-44.03171157836914,56,2800,0.10000000149011612,38.88439917857142,0.009433448314666748,8495,0.00030814000000000004,0,2789
50.0,-47.166297912597656,60,3000,0.10000000149011612,38.94582638333332,0.0070362575352191925,9109,0.00028014,0,2989
50.0,-50.31135940551758,64,3200,0.10000000149011612,38.994779703125005,0.006832784041762352,9721,0.00025214,0,3189
50.0,-53.466915130615234,68,3400,0.10000000149011612,39.04325497058824,0.006952556781470776,10337,0.00022414000000000003,0,3389
50.0,-56.57279968261719,72,3600,0.10000000149011612,39.08314538888889,0.007458045147359371,10941,0.00019614,0,3589
50.0,-59.695472717285156,76,3800,0.10000000149011612,39.110925197368424,0.008072590455412865,11569,0.00016813999999999997,0,3789
50.0,-62.78672790527344,80,4000,0.10000000149011612,39.141653237499995,0.008491747081279755,12181,0.00014014000000000002,0,3989
50.0,-65.87460327148438,84,4200,0.10000000149011612,39.167708999999995,0.007098306901752949,12801,0.00011214000000000001,0,4189
50.0,-68.94856262207031,88,4400,0.10000000149011612,39.21080075,0.008598567917943,13386,8.413999999999998e-05,0,4389
50.0,-71.96029663085938,92,4600,0.10000000149011612,39.24721311956522,0.009320261888206005,13998,5.6140000000000035e-05,0,4589
50.0,-75.01350402832031,96,4800,0.10000000149011612,39.28137140625,0.014239932410418987,14576,2.814000000000001e-05,0,4789
