step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[6.053337860107422, 6.849220085144043]",[0.01215133 0.         0.         0.         0.        ],[8.8568355e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.7619047e-04],[1.2652622e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.01094767265021801, 0.0471126027405262, 0.04905373603105545, 0.03946685791015625, 0.0301186703145504]","[0.02077433280646801, 0.0569392628967762, 0.05888039618730545, 0.04929351806640625, 0.0399453304708004]","[0.033445924520492554, 0.03285396844148636, 0.027129365131258965, 0.026260318234562874, 0.03272857144474983]",[0.01195153 0.00896237 0.00715313 0.00595214 0.00508717],0.044823017,0.020272389,"[6.689797019958497, 6.39457893371582, 6.588357162475586, 6.800048828125, 7.011104774475098]","[6.643105125427247, 6.300265312194824, 6.466201210021973, 6.643378067016601, 6.806104469299316]",0.8260881244475621,0.07547339968544471,0.19982822369601727,0.24696216667803314,0.10406381237702313,0.1,0.04987347377744038,0.04988704823360356
2,0,1,-0.46042657,"[6.9527839660644535, 6.28493824005127]",[0. 0. 0. 0. 0.],[0.        0.0078125 0.        0.        0.       ],[0. 0. 0. 0. 0.],"[0.02262115478515625, 0.00905609130859375, 0.00115966796875, 0.00115966796875, 0.00115966796875]","[0.03244781494140625, 0.01888275146484375, 0.010986328125, 0.010986328125, 0.010986328125]","[0.03581111133098602, 0.028438888490200043, 0.027811111882328987, 0.027811111882328987, 0.027811111882328987]",[0.0046357  0.00458771 0.00454654 0.00450529 0.0044753 ],0.042139754,0.021057729,"[4.638683605194092, 3.696557903289795, 3.2468780517578124, 3.1565160751342773, 4.422030925750732]","[4.476142883300781, 3.6609476089477537, 3.239427947998047, 2.8375268936157223, 4.427938079833985]",0.7682906848940946,0.04789073809014279,0.2,0.25,0.10180248969085644,0.07015995711309525,0.05,0.0484375
3,0,1,-0.918053,"[6.3716278076171875, 5.730031967163086]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.01617431640625, 0.01617431640625, 0.0123291015625, 0.0123291015625, 0.0123291015625]","[0.0260009765625, 0.0260009765625, 0.02215576171875, 0.02215576171875, 0.02215576171875]","[0.025033332407474518, 0.025033332407474518, 0.025555554777383804, 0.025555554777383804, 0.025555554777383804]",[0.00443296 0.00441889 0.00440554 0.00439585 0.00438917],0.040478937,0.020742016,"[1.3769675254821778, 0.9576149821281433, 0.9826164960861206, 0.7728019833564759, 0.7026509881019593]","[1.3538535356521606, 1.0025890111923217, 0.9923380017280579, 0.761303997039795, 0.7703379988670349]",0.7421783592931095,0.009528296702515539,0.2,0.25,0.11258342613226058,0.07006663645833333,0.05,0.05
4,0,1,-0.96694475,"[5.778302001953125, 6.667061042785645]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00384521484375, 0.00384521484375, 0.02850341796875, 0.02850341796875, 0.02850341796875]","[0.013671875, 0.013671875, 0.038330078125, 0.038330078125, 0.038330078125]","[0.03117777779698372, 0.03117777779698372, 0.029855554923415184, 0.029855554923415184, 0.029855554923415184]",[0.00436547 0.00435718 0.00434868 0.00434202 0.00433647],0.03925974,0.020566158,"[0.8760780096054077, 0.5861659944057465, 0.5810890018939971, 0.6589100062847137, 0.5571950078010559]","[0.8969709873199463, 0.6032849967479705, 0.5671659946441651, 0.6566799998283386, 0.5455430001020432]",0.7607520412043827,0.004409801110268754,0.2,0.25,0.10634224009411385,0.1,0.05,0.05
5,1,1,0.6265404,"[6.744990730285645, 7.8046318054199215]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0142364501953125, 0.0142364501953125, 0.0142364501953125, 0.010009765625, 0.010009765625]","[0.0240631103515625, 0.0240631103515625, 0.0240631103515625, 0.01983642578125, 0.01983642578125]","[0.021566666662693024, 0.021566666662693024, 0.021566666662693024, 0.029944444075226784, 0.029944444075226784]",[0.00425979 0.00417248 0.00408753 0.0040308  0.00398101],0.037997346,0.020231154,"[5.494024467468262, 6.374080276489258, 8.388955688476562, 7.204953956604004, 8.517202758789063]","[4.816742515563965, 6.503115272521973, 8.488888359069824, 7.812121963500976, 8.677199745178223]",0.7690535301136239,0.07958717669225344,0.2,0.25,0.10763255967137028,0.03183379375,0.05,0.05
6,1,1,0.8255112,"[7.8885702133178714, 5.523911857604981]",[0.04868549 0.         0.1090535  0.         0.06382979],[0.00726011 0.00798578 0.         0.00157978 0.00146199],[9.5020907e-05 3.3333334e-03 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.005340576171875, 0.016021728515625, 0.0355936698615551, 0.045379638671875, 0.0398152656853199]","[0.012237548828125, 0.022918701171875, 0.0424906425178051, 0.052276611328125, 0.0467122383415699]","[0.03408148139715195, 0.038777776062488556, 0.033266667276620865, 0.03051111102104187, 0.03114074096083641]",[0.01157895 0.02676073 0.02865333 0.02911309 0.02896556],0.037657917,0.019882848,"[8.203710746765136, 8.883393669128418, 9.46939640045166, 10.0, 9.644801139831543]","[8.897835540771485, 9.061275482177734, 9.42713279724121, 10.0, 9.689774131774902]",0.7175573120076159,0.09486796196627134,0.18821067163499736,0.19460780577502607,0.0991079574000021,0.07870398958333336,0.015716457620676545,0.046342468027309125
7,1,1,0.21327162,"[5.645107078552246, 6.444570732116699]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0224609375, 0.0224609375, 0.0217437744140625, 0.021026611328125, 0.021026611328125]","[0.02935791015625, 0.02935791015625, 0.0286407470703125, 0.027923583984375, 0.027923583984375]","[0.030655555427074432, 0.030655555427074432, 0.03411111235618591, 0.037566665560007095, 0.037566665560007095]",[0.02975767 0.02946056 0.029094   0.02891208 0.02872965],0.03709678,0.0193624,"[8.307753562927246, 7.46358585357666, 6.727119636535645, 6.756362724304199, 6.237006950378418]","[8.186353492736815, 7.193975067138672, 6.651970863342285, 5.986979866027832, 6.524578094482422]",0.8066758218638354,0.0787968615688176,0.2,0.25,0.10019036237835091,0.07768859791666667,0.05,0.05
8,1,1,0.45899308,"[6.572294807434083, 7.607146263122559]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.027374267578125, 0.033721923828125, 0.033721923828125, 0.033721923828125, 0.038970947265625]","[0.034271240234375, 0.040618896484375, 0.040618896484375, 0.040618896484375, 0.045867919921875]","[0.034655556082725525, 0.031744442880153656, 0.031744442880153656, 0.031744442880153656, 0.03311111032962799]",[0.02819492 0.02774831 0.0275082  0.02731682 0.0271092 ],0.037226167,0.018889986,"[8.671412467956543, 7.120341491699219, 7.112494277954101, 8.127696228027343, 6.531557846069336]","[8.173615074157714, 6.9218339920043945, 7.350893020629883, 7.7383207321167, 6.639731979370118]",0.8216626431879633,0.08211382993542697,0.18665507610579185,0.25,0.10289373714674449,0.1,0.05,0.05
9,1,1,0.087249994,"[7.728114891052246, 8.90374927520752]",[0. 0. 0. 0. 0.],[0.        0.        0.0033557 0.        0.       ],[0. 0. 0. 0. 0.],"[0.0226287841796875, 0.0226287841796875, 0.0345001220703125, 0.0345001220703125, 0.0345001220703125]","[0.0295257568359375, 0.0295257568359375, 0.0413970947265625, 0.0413970947265625, 0.0413970947265625]","[0.03113333322107792, 0.03113333322107792, 0.026955556124448776, 0.026955556124448776, 0.026955556124448776]",[0.02662361 0.02637024 0.02614865 0.02600006 0.02583293],0.037126042,0.0184052,"[6.963039588928223, 6.532148361206055, 6.017743873596191, 5.478070831298829, 7.083383941650391]","[7.084995269775391, 6.309756469726563, 5.908626747131348, 5.598519897460938, 6.531592750549317]",0.817353942897346,0.07307266506165629,0.2,0.25,0.10638807502528694,0.08856434375,0.05,0.049328859060402686
10,2,1,0.87014484,"[9.009210014343262, 10.0]",[0. 0. 0. 0. 0.],[0.         0.         0.00211864 0.         0.        ],[0. 0. 0. 0. 0.],"[0.02496337890625, 0.0154266357421875, 0.0154266357421875, 0.0154266357421875, 0.022491455078125]","[0.0318603515625, 0.0223236083984375, 0.0223236083984375, 0.0223236083984375, 0.029388427734375]","[0.029555555433034897, 0.03215555474162102, 0.03215555474162102, 0.03215555474162102, 0.030177777633070946]",[0.02534547 0.02499953 0.02469149 0.02443062 0.02424242],0.036506705,0.01815289,"[7.555948257446289, 9.225528526306153, 9.32723560333252, 10.0, 10.0]","[7.164525413513184, 9.462834930419922, 9.55289192199707, 9.74409294128418, 10.0]",0.8204233917062866,0.09473952576837814,0.2,0.25,0.10534577287646778,0.070761821875,0.05,0.04957627118644068
11,2,1,0.5030395,"[5.655680847167969, 5.627912902832032]",[0.         0.1161859  0.32061067 0.         0.        ],[0.00497512 0.01070885 0.0763213  0.00294823 0.00191571],[0.         0.         0.         0.00147493 0.        ],"[0.017791748046875, 0.07220458984375, 0.1021728515625, 0.1601613312959671, 0.1562652587890625]","[0.024688720703125, 0.0791015625, 0.10906982421875, 0.1670583039522171, 0.1631622314453125]","[0.03316666558384895, 0.040166664868593216, 0.040170371532440186, 0.04188888892531395, 0.04531111195683479]",[0.02340602 0.02660811 0.02914488 0.03492422 0.03443812],0.04310208,0.032033835,"[9.491540145874023, 7.682242393493652, 10.0, 8.16199016571045, 8.337736511230469]","[10.0, 9.49690284729004, 9.94385929107666, 8.195063591003418, 8.309706497192382]",0.5758756603042069,0.09130089774799602,0.0842707657232517,0.14080085388530045,0.09362624724217838,0.1,0.03525073746312685,0.030626158242353554
12,2,1,-0.6033062,"[5.68581485748291, 5.009558010101318]",[0.08986928 0.         0.         0.         0.        ],[0.00213675 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.1552632600069046, 0.054656982421875, 0.0420074462890625, 0.02935791015625, 0.02935791015625]","[0.1621602326631546, 0.061553955078125, 0.0489044189453125, 0.0362548828125, 0.0362548828125]","[0.04228518530726433, 0.04592222347855568, 0.03746110945940018, 0.028999999165534973, 0.028999999165534973]",[0.03411288 0.03464148 0.03450777 0.0343763  0.03426687],0.04526376,0.035971127,"[9.050000190734863, 4.853189086914063, 3.025688076019287, 2.8734993934631348, 2.78055305480957]","[9.066239929199218, 4.825620555877686, 3.0374334335327147, 2.9270800590515136, 2.6771475315093993]",0.7315126274347645,0.05520548270742631,0.2,0.2275326797385621,0.093140524096682,0.056061291319444456,0.05,0.04957264957264958
13,2,1,-0.666594,"[5.049814891815186, 5.188624000549317]",[0. 0. 0. 0. 0.],[0.         0.00568182 0.         0.         0.        ],[0.         0.00568182 0.         0.         0.        ],"[0.03265380859375, 0.03265380859375, 0.0551910400390625, 0.033203125, 0.033203125]","[0.03955078125, 0.03955078125, 0.0620880126953125, 0.04010009765625, 0.04010009765625]","[0.02500000037252903, 0.02500000037252903, 0.029988888651132584, 0.03141111135482788, 0.03141111135482788]",[0.0340142  0.0339019  0.03379856 0.03370722 0.03361094],0.045210473,0.035047393,"[2.5619189739227295, 2.780015468597412, 2.1492855072021486, 1.9415394783020021, 2.0991150379180907]","[2.477205514907837, 2.71699800491333, 2.10913405418396, 2.031732511520386, 2.0465149879455566]",0.7113007851143834,0.029357788830487497,0.2,0.25,0.10610239186470406,0.07697696805555557,0.0,0.048863636363636366
14,2,1,-0.09778297,"[5.23998908996582, 6.443759918212891]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.027984619140625, 0.03204345703125, 0.036102294921875, 0.036102294921875, 0.03366851806640625]","[0.034881591796875, 0.0389404296875, 0.042999267578125, 0.042999267578125, 0.04056549072265625]","[0.028566665947437286, 0.031061111018061638, 0.03355555608868599, 0.03355555608868599, 0.03547222167253494]",[0.03334385 0.03314933 0.03295949 0.03278065 0.03257449],0.044895872,0.03408617,"[2.2541873455047607, 4.790334415435791, 5.0375574111938475, 5.715337181091309, 4.398353385925293]","[2.271787643432617, 4.546759510040284, 4.975791358947754, 5.7035400390625, 4.3556560516357425]",0.7843077997743891,0.05440430686499651,0.2,0.25,0.10211994152050355,0.07778355138888889,0.05,0.05
15,3,1,-0.8893772,"[6.514064979553223, 7.932615089416504]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0312347412109375, 0.0243072509765625, 0.0173797607421875, 0.0173797607421875, 0.0145721435546875]","[0.0381317138671875, 0.0312042236328125, 0.0242767333984375, 0.0242767333984375, 0.0214691162109375]","[0.037388887256383896, 0.03442777693271637, 0.03146666660904884, 0.03146666660904884, 0.03437222167849541]",[0.03218519 0.03214318 0.03209632 0.0320503  0.03200512],0.044069458,0.033483922,"[4.827155494689942, 1.3925000190734864, 1.2406914949417114, 1.0081265211105346, 1.066150999069214]","[5.182600975036621, 1.2074270248413086, 1.2476500034332276, 1.0466599941253663, 1.0686049699783324]",0.7478535672643143,0.02387971972465088,0.2,0.25,0.10035123365077438,0.0736226138888889,0.05,0.05
16,3,1,-0.5945622,"[8.036462783813477, 7.70389404296875]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0138397216796875, 0.02117919921875, 0.02806599996984005, 0.034881591796875, 0.0411224365234375]","[0.0207366943359375, 0.028076171875, 0.0349629707634449, 0.041778564453125, 0.0480194091796875]","[0.03800370544195175, 0.03777777776122093, 0.031703703105449677, 0.03294999897480011, 0.037566665560007095]",[0.03185916 0.03179687 0.0317263  0.03160758 0.03151676],0.04342115,0.03268367,"[1.1560346841812135, 1.0157560110092163, 1.2679333686828613, 3.283312892913818, 2.29304404258728]","[1.1648583650588988, 0.9707776546478272, 1.223449969291687, 3.047626113891601, 2.272895002365112]",0.7697141997041714,0.022406986364272245,0.1975101349016303,0.25,0.09979707843826882,0.1,0.05,0.05
17,3,1,-0.8766981,"[5.783597755432129, 7.242333221435547]",[0.        0.        0.2881356 0.        0.       ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0342254638671875, 0.0342254638671875, 0.05706787109375, 0.05706787109375, 0.05706787109375]","[0.0411224365234375, 0.0411224365234375, 0.06396484375, 0.06396484375, 0.06396484375]","[0.038511112332344055, 0.038511112332344055, 0.02786666713654995, 0.02786666713654995, 0.02786666713654995]",[0.03076956 0.03073766 0.03105853 0.03104672 0.0310192 ],0.04367576,0.0324039,"[3.794123077392578, 1.6764649868011476, 1.4678090095520018, 1.3136709690093995, 1.2004290342330932]","[3.8946760177612303, 1.7823800563812258, 1.5132680177688598, 1.2540400266647338, 1.157489013671875]",0.6752691311276949,0.023647907286492617,0.17431082271394277,0.17796610169491525,0.09934429943234423,0.1,0.05,0.05
18,3,1,0.11708152,"[7.314028739929199, 8.894456100463866]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0427093505859375, 0.0427093505859375, 0.0272369384765625, 0.0117645263671875, 0.0231781005859375]","[0.0496063232421875, 0.0496063232421875, 0.0341339111328125, 0.0186614990234375, 0.0300750732421875]","[0.030899999663233757, 0.030899999663233757, 0.030388887971639633, 0.02987777814269066, 0.036322221159935]",[0.03089407 0.03075383 0.03057471 0.03039015 0.03016879],0.043365546,0.03186532,"[2.31642746925354, 5.45151653289795, 5.687269401550293, 6.647827529907227, 4.886127471923828]","[2.2948280334472657, 5.3244476318359375, 5.6645402908325195, 6.419504165649414, 4.814494037628174]",0.7790054762002341,0.060045915919785746,0.2,0.25,0.10132762590544818,0.06763193437500001,0.05,0.05
19,3,1,0.21872032,"[8.970763015747071, 4.441483020782471]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.05714286],[0. 0. 0. 0. 0.],"[0.0109710693359375, 0.0109710693359375, 0.01348114013671875, 0.0159912109375, 0.0159912109375]","[0.0178680419921875, 0.0178680419921875, 0.02037811279296875, 0.02288818359375, 0.02288818359375]","[0.03871111199259758, 0.03871111199259758, 0.03540555387735367, 0.032099999487400055, 0.032099999487400055]",[0.02971317 0.02951783 0.0293604  0.02921207 0.02909623],0.042503826,0.031580504,"[7.618780899047851, 6.648557662963867, 5.79732723236084, 4.195687389373779, 4.377089977264404]","[7.198375320434571, 6.084901237487793, 5.796253204345703, 4.152887058258057, 6.973300933837891]",0.8047034422326137,0.06696507376974042,0.2,0.25,0.09916693989144466,0.1,0.05,0.038571428571428576
20,4,1,-0.012655735,"[4.542074871063233, 5.495545959472657]",[0.02807971 0.         0.         0.         0.        ],[0.00197824 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0277557373046875, 0.0008392333984375, 0.0008392333984375, 0.0126495361328125, 0.0244598388671875]","[0.0346527099609375, 0.0077362060546875, 0.0077362060546875, 0.0195465087890625, 0.0313568115234375]","[0.0332111120223999, 0.03216666728258133, 0.03216666728258133, 0.029794445261359215, 0.02742222137749195]",[0.03145275 0.03142468 0.03127644 0.03111358 0.03094444],0.041595038,0.031566054,"[8.052482223510742, 5.501630210876465, 6.235232543945313, 5.753860282897949, 5.41280460357666]","[7.825230598449707, 5.515094757080078, 6.477588081359864, 5.903449440002442, 5.4488380432128904]",0.8180047548183825,0.07112590975611283,0.2,0.24298007246376813,0.10429442047189423,0.1,0.05,0.049604352126607326
21,4,1,-0.5209022,"[5.545252799987793, 7.237131881713867]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.009724934585392475, 0.0120849609375, 0.014745076186954975, 0.0200653076171875, 0.0200653076171875]","[0.01662190817296505, 0.01898193359375, 0.02164204977452755, 0.0269622802734375, 0.0269622802734375]","[0.037744443863630295, 0.040833331644535065, 0.03690740838646889, 0.029055556282401085, 0.029055556282401085]",[0.03044819 0.03020941 0.03005489 0.02994493 0.02985297],0.040616952,0.031105766,"[4.997813796997071, 6.340990829467773, 3.375606060028076, 2.679165983200073, 3.212784957885742]","[5.099840450286865, 6.109283447265625, 3.2174764633178707, 2.648719549179077, 3.01899299621582]",0.7768062350356751,0.05104627150827208,0.2,0.25,0.0973217312357363,0.07843823229166669,0.05,0.05
22,4,1,0.21275389,"[7.346560859680176, 6.777763175964355]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0517425537109375, 0.0669097900390625, 0.0669097900390625, 0.0298614501953125, 0.0298614501953125]","[0.0586395263671875, 0.0738067626953125, 0.0738067626953125, 0.0367584228515625, 0.0367584228515625]","[0.029244445264339447, 0.02504444494843483, 0.02504444494843483, 0.02548888884484768, 0.02548888884484768]",[0.02961139 0.02945916 0.02928645 0.02911834 0.02895106],0.041233476,0.03081743,"[3.3355254173278808, 5.8922668457031255, 5.882234382629394, 6.192413330078125, 6.847530364990234]","[3.4254013061523434, 5.919186782836914, 5.793894577026367, 5.740010070800781, 6.260389518737793]",0.7676545013595529,0.06606780044587342,0.15891985813204906,0.25,0.10838269590663037,0.084284146875,0.05,0.05
23,4,1,0.6908457,"[6.832229042053223, 6.883368110656739]",[0. 0. 0. 0. 0.],[0.         0.00193798 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0330352783203125, 0.021392822265625, 0.021392822265625, 0.02410888671875, 0.02410888671875]","[0.0399322509765625, 0.028289794921875, 0.028289794921875, 0.031005859375, 0.031005859375]","[0.02871111035346985, 0.02841111086308956, 0.02841111086308956, 0.032277777791023254, 0.032277777791023254]",[0.02853405 0.02830039 0.02807106 0.02786252 0.02775363],0.0409371,0.030385597,"[5.262580871582031, 9.735567665100097, 9.900181198120118, 9.565359687805175, 7.357151222229004]","[5.182722568511963, 9.981035423278808, 9.67593994140625, 8.979095458984375, 7.553495216369629]",0.8149574749583366,0.08860327564259314,0.2,0.25,0.10522277364552378,0.07151902256944447,0.05,0.04961240310077519
