step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[6.048216056823731, 8.987450790405273]",[0.00350254 0.         0.         0.         0.        ],[0.00012219 0.00046904 0.         0.         0.        ],[1.7455663e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.0171170923858881, 0.015247051604092121, 0.005724393296986818, 0.0068148099817335606, 0.032314594835042953]","[0.0287748072296381, 0.026904765516519547, 0.01738210767507553, 0.018472524359822273, 0.043972309678792953]","[0.032096825540065765, 0.024835042655467987, 0.026218803599476814, 0.023657264187932014, 0.024311965331435204]",[0.04011656 0.02799622 0.02181634 0.01783364 0.01511597],0.027126659,0.012497917,"[7.173712730407715, 7.164710235595703, 7.407684898376465, 7.107660293579102, 6.364301300048829]","[7.162500953674317, 7.127262306213379, 7.135225105285644, 6.962047958374024, 6.283279991149903]",0.8325867558359658,0.07835019688240567,0.2,0.24912436506092095,0.1054049970768665,0.1,0.04982544337383047,0.04988175344194227
2,0,1,-0.46042657,"[9.092504119873047, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.025238037109375, 0.0315704345703125, 0.01812744140625, 0.01812744140625, 0.01812744140625]","[0.036895751953125, 0.0432281494140625, 0.02978515625, 0.02978515625, 0.02978515625]","[0.02498333342373371, 0.026111111044883728, 0.02576666697859764, 0.02576666697859764, 0.02576666697859764]",[0.01364692 0.01350626 0.01332796 0.01322138 0.01314887],0.027969567,0.012233285,"[5.245981788635254, 3.2366710662841793, 3.6649101257324217, 3.3414880752563474, 3.908792018890381]","[5.326008033752442, 3.0486329078674315, 3.6243099212646483, 3.331233024597168, 3.9680449485778806]",0.7676199065975756,0.048415302001513956,0.19024227517345804,0.25,0.11192113447068046,0.06704119495192308,0.05,0.05
3,0,1,-0.918053,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.01680755615234375, 0.0154876708984375, 0.0154876708984375, 0.0251617431640625, 0.0251617431640625]","[0.02846527099609375, 0.0271453857421875, 0.0271453857421875, 0.0368194580078125, 0.0368194580078125]","[0.025372222065925598, 0.024977777153253555, 0.024977777153253555, 0.023277778178453445, 0.023277778178453445]",[0.01299142 0.01294678 0.01290442 0.01286586 0.01282441],0.028261667,0.011672703,"[1.864017057418823, 1.0109135150909423, 0.916527509689331, 0.8945585012435913, 0.881801986694336]","[1.9551529407501222, 1.0178060054779052, 0.925276517868042, 0.8703090071678161, 0.8787660121917724]",0.7460117305105436,0.01201971137900483,0.2,0.25,0.1128045701732054,0.07118744895833333,0.05,0.05
4,0,1,-0.96694475,"[6.2486169815063475, 6.711726188659668]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0264892578125, 0.0199127197265625, 0.013336181640625, 0.01837158203125, 0.01837158203125]","[0.03814697265625, 0.0315704345703125, 0.024993896484375, 0.030029296875, 0.030029296875]","[0.019811110571026802, 0.021849999204277992, 0.02388888970017433, 0.026422223076224327, 0.026422223076224327]",[0.01276776 0.01273847 0.01270626 0.0126841  0.01266735],0.028518677,0.011307075,"[0.6426745057106018, 0.7352274894714356, 0.7514880061149598, 0.6912600040435791, 0.5586030066013337]","[0.643987500667572, 0.6904710054397583, 0.7576260089874267, 0.7008379936218262, 0.5502499997615814]",0.7654819616873976,0.004819366421035897,0.19910736083984376,0.25,0.11155523442651784,0.1,0.05,0.05
5,1,1,0.6265404,"[6.772434234619141, 7.903616905212402]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00970874],[0. 0. 0. 0. 0.],"[0.0195465087890625, 0.020721435546875, 0.020721435546875, 0.020721435546875, 0.020721435546875]","[0.0312042236328125, 0.032379150390625, 0.032379150390625, 0.032379150390625, 0.032379150390625]","[0.025911111384630203, 0.02539999969303608, 0.02539999969303608, 0.02539999969303608, 0.02539999969303608]",[0.01232012 0.0120862  0.01181742 0.01171897 0.0115864 ],0.028770447,0.010935728,"[9.589025497436523, 8.30740795135498, 7.551720809936524, 8.496197128295899, 9.7407621383667]","[8.960933685302734, 7.564194297790528, 7.146907806396484, 9.119825172424317, 10.0]",0.7646864552285028,0.09131756604423492,0.19712295532226565,0.25,0.11215822414315099,0.01602945729166667,0.05,0.04805825242718447
6,1,1,0.8255112,"[7.999078941345215, 6.424560165405274]",[0.         0.01954362 0.07373272 0.         0.        ],[0.00151515 0.00265325 0.         0.         0.00274725],[0.         0.00114548 0.         0.         0.        ],"[0.070343017578125, 0.0982513427734375, 0.0717112198472023, 0.06078338623046875, 0.0631256103515625]","[0.082000732421875, 0.1099090576171875, 0.0833689346909523, 0.07244110107421875, 0.0747833251953125]","[0.031611111015081406, 0.04328889027237892, 0.029940741136670113, 0.022994443774223328, 0.02272222191095352]",[0.01351522 0.01919514 0.01992665 0.02005023 0.01966453],0.035493594,0.021853838,"[9.978609848022462, 10.0, 9.819920921325684, 9.50282974243164, 8.624083709716796]","[10.0, 10.0, 9.870721817016602, 9.63935661315918, 8.841287994384766]",0.7294772852202881,0.0972299665924036,0.1231400154732369,0.22668091570176246,0.09526427126638394,0.1,0.03854524627720504,0.048616869909296145
7,1,1,0.21327162,"[6.525719070434571, 7.5677837371826175]",[0.0295858 0.        0.        0.        0.       ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.06508636474609375, 0.067047119140625, 0.067047119140625, 0.067047119140625, 0.067047119140625]","[0.07674407958984375, 0.078704833984375, 0.078704833984375, 0.078704833984375, 0.078704833984375]","[0.024250000715255737, 0.025777777656912804, 0.025777777656912804, 0.025777777656912804, 0.025777777656912804]",[0.01929417 0.01923906 0.01895496 0.01873904 0.01871598],0.038365595,0.023665229,"[8.872977256774902, 6.96520881652832, 7.852212905883789, 7.779105186462402, 9.266073226928711]","[8.646016883850098, 6.824144935607911, 7.778372764587402, 7.418857765197754, 8.552831077575684]",0.8131447598123974,0.08698858114126122,0.18621440427977834,0.24260355029585798,0.11231711263716646,0.08502111145833335,0.05,0.05
8,1,1,0.45899308,"[7.6421142578125, 8.8053409576416]",[0.        0.0025641 0.        0.        0.       ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0027923583984375, 0.0, 0.0, 0.0, 0.0]","[0.0081634521484375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375]","[0.027655554935336113, 0.02303333394229412, 0.02303333394229412, 0.02303333394229412, 0.02303333394229412]",[0.01825876 0.01804535 0.01781288 0.01768138 0.01756898],0.036576893,0.024153857,"[8.37951602935791, 9.226056671142578, 8.243695259094238, 7.028119277954102, 10.0]","[8.152307891845703, 8.70826988220215, 8.33985023498535, 6.695751953125, 9.928346824645995]",0.8496473007976548,0.09015058929466983,0.2,0.24935897435897436,0.1101377371440105,0.1,0.05,0.05
9,1,1,0.087249994,"[8.879516983032227, 9.160143852233887]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0097198486328125, 0.01611328125, 0.01641845703125, 0.0167236328125, 0.0226898193359375]","[0.0150909423828125, 0.021484375, 0.02178955078125, 0.0220947265625, 0.0280609130859375]","[0.026155555620789528, 0.028933333232998848, 0.028816666454076767, 0.028699999675154686, 0.027133332565426826]",[0.01722552 0.01704513 0.0168702  0.01673988 0.01661931],0.03563861,0.023735195,"[6.969951820373535, 7.648013114929199, 6.174204635620117, 5.760646057128906, 6.73211784362793]","[7.281389617919922, 7.344760704040527, 6.236930274963379, 5.616296005249024, 7.021446228027344]",0.8050669110544858,0.07513800496854642,0.19119271805037313,0.25,0.1087204651188994,0.08001572291666667,0.05,0.05
10,2,1,0.87014484,"[9.61815128326416, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.013427734375, 0.013427734375, 0.013427734375, 0.0111083984375, 0.0111083984375]","[0.018798828125, 0.018798828125, 0.018798828125, 0.0164794921875, 0.0164794921875]","[0.02288888953626156, 0.02288888953626156, 0.02288888953626156, 0.025555554777383804, 0.025555554777383804]",[0.01631813 0.01604769 0.01584664 0.01564249 0.01558772],0.03465722,0.023405341,"[8.257847595214843, 10.0, 9.983690452575683, 10.0, 10.0]","[8.296720314025878, 9.841661262512208, 10.0, 10.0, 10.0]",0.829080848690699,0.09765701526677167,0.2,0.25,0.11258342613226058,0.06884040729166667,0.05,0.05
