time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/ent_coef,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,train/critic_loss,time/total_timesteps
4,0,616,50.0,189,0.10000000149011612,39.6561495,-3.0194029808044434,0.00067214,0.004432086367160082,200
8,0,1233,50.0,389,0.10000000149011612,39.635213625,-6.074803352355957,0.00064414,0.0061868117190897465,400
12,0,1847,50.0,589,0.10000000149011612,39.620053750000004,-9.24893569946289,0.0006161399999999999,0.004603060893714428,600
16,0,2479,50.0,789,0.10000000149011612,39.6512755625,-12.44270133972168,0.00058814,0.0032628143671900034,800
20,0,3112,50.0,989,0.10000000149011612,39.6345457,-15.71235179901123,0.00056014,0.009091644547879696,1000
24,0,3732,50.0,1189,0.10000000149011612,39.62341866666667,-18.993343353271484,0.00053214,0.004770333878695965,1200
28,0,4381,50.0,1389,0.10000000149011612,39.641112535714285,-22.208961486816406,0.0005041399999999999,0.014738593250513077,1400
32,0,5001,50.0,1589,0.10000000149011612,39.61244903125,-25.5150203704834,0.00047614,0.00349485594779253,1600
36,0,5676,50.0,1789,0.10000000149011612,39.61436141666666,-28.84320068359375,0.00044814,0.014218891970813274,1800
40,0,6299,50.0,1989,0.10000000149011612,39.5865622,-32.06679153442383,0.00042014000000000005,0.004857286345213652,2000
44,0,6920,50.0,2189,0.10000000149011612,39.573820272727275,-35.30553436279297,0.00039214,0.009621642529964447,2200
48,0,7539,50.0,2389,0.10000000149011612,39.56717925,-38.50865936279297,0.00036414,0.006596976425498724,2400
52,0,8159,50.0,2589,0.10000000149011612,39.545883576923075,-41.75790786743164,0.00033613999999999996,0.006549537647515535,2600
56,0,8781,50.0,2789,0.10000000149011612,39.55675092857143,-44.963314056396484,0.00030814000000000004,0.004626581910997629,2800
60,0,9402,50.0,2989,0.10000000149011612,39.554212633333336,-48.11014175415039,0.00028014,0.016663171350955963,3000
64,0,10019,50.0,3189,0.10000000149011612,39.564679671875,-51.33992004394531,0.00025214,0.007712937891483307,3200
68,0,10638,50.0,3389,0.10000000149011612,39.55258522058824,-54.52080535888672,0.00022414000000000003,0.008018042892217636,3400
72,0,11259,50.0,3589,0.10000000149011612,39.54772520833333,-57.641807556152344,0.00019614,0.0063375914469361305,3600
76,0,11879,50.0,3789,0.10000000149011612,39.55802985526315,-60.7899055480957,0.00016813999999999997,0.005250176414847374,3800
80,0,12503,50.0,3989,0.10000000149011612,39.554435437500004,-63.93228530883789,0.00014014000000000002,0.005183178931474686,4000
84,0,13126,50.0,4189,0.10000000149011612,39.548550273809525,-67.0689926147461,0.00011214000000000001,0.0065640415996313095,4200
88,0,13747,50.0,4389,0.10000000149011612,39.543423329545455,-70.1633071899414,8.413999999999998e-05,0.0056807007640600204,4400
92,0,14376,50.0,4589,0.10000000149011612,39.53426985869565,-73.22882080078125,5.6140000000000035e-05,0.008101723156869411,4600
96,0,15117,50.0,4789,0.10000000149011612,39.53787609375001,-76.31513214111328,2.814000000000001e-05,0.008881025947630405,4800
