step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[6.07901611328125, 7.614657020568847]",[0.00072409 0.         0.00740741 0.         0.        ],[0.00010097 0.00062305 0.00046948 0.         0.        ],[2.5242964e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.006928507704287767, 0.01563313789665699, 0.0244903564453125, 0.02060808427631855, 0.0356052927672863]","[0.02145487442612648, 0.03015950508415699, 0.0390167236328125, 0.0351344533264637, 0.0501316599547863]","[0.024136295542120934, 0.026234814897179604, 0.02182888798415661, 0.019296031445264816, 0.020400794222950935]",[0.0079078  0.00467627 0.00348022 0.00336511 0.00279393],0.034975234,0.013584916,"[7.689821243286133, 6.706387519836426, 7.289510345458985, 7.183956336975098, 6.954616737365723]","[7.519981765747071, 6.6499481201171875, 7.090341949462891, 7.085459327697754, 6.768492889404297]",0.9752530299241232,0.07933663749985005,0.19989789570847605,0.24796712442779859,0.14903363491114585,0.1,0.09949514072952165,0.09952259664733107
2,0,1,-0.46042657,"[7.697737121582032, 5.499491882324219]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0031280517578125, 0.0031280517578125, 0.0, 0.0, 0.0]","[0.0135955810546875, 0.0135955810546875, 0.010467529296875, 0.010467529296875, 0.010467529296875]","[0.026799999177455902, 0.026799999177455902, 0.026900000870227814, 0.026900000870227814, 0.026900000870227814]",[0.00333591 0.00331145 0.00329451 0.00327562 0.0032596 ],0.033484433,0.014328944,"[4.5432959556579595, 5.301046752929688, 5.070236015319824, 4.351862049102783, 3.9400990486145018]","[4.824921894073486, 5.187055873870849, 4.75410099029541, 4.453125953674316, 3.6900650978088376]",0.9281956311856879,0.056482614667830805,0.2,0.25,0.148,0.07371301651785715,0.1,0.1
3,0,1,-0.918053,"[5.552225112915039, 6.39685287475586]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0, 0.003875732421875, 0.003875732421875, 0.003875732421875, 0.003875732421875]","[0.010467529296875, 0.01434326171875, 0.01434326171875, 0.01434326171875, 0.01434326171875]","[0.026900000870227814, 0.026155555620789528, 0.026155555620789528, 0.026155555620789528, 0.026155555620789528]",[0.00322981 0.00321858 0.00320843 0.00320037 0.00319598],0.031613726,0.01485267,"[1.5901570081710816, 0.992602002620697, 1.09322350025177, 0.9392659902572632, 1.0307210206985473]","[1.5712754726409912, 0.9424274921417236, 1.0825294971466064, 0.9296910047531128, 1.0342139720916748]",0.8736829594461756,0.012267481321175548,0.2,0.25,0.148,0.063415478125,0.1,0.1
4,0,1,-0.96694475,"[6.449250793457032, 7.428051948547363]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0025787353515625, 0.00792694091796875, 0.0145721435546875, 0.017822265625, 0.0210723876953125]","[0.0130462646484375, 0.01839447021484375, 0.0250396728515625, 0.028289794921875, 0.0315399169921875]","[0.02593333274126053, 0.02596111036837101, 0.02621111087501049, 0.025100000202655792, 0.023988889530301094]",[0.00318435 0.00317803 0.00316939 0.00316295 0.00315671],0.030735377,0.014567018,"[0.8662149906158447, 0.6882379949092865, 0.780805516242981, 0.639490008354187, 0.8452239871025086]","[0.8701725006103516, 0.6975805044174195, 0.7834610104560853, 0.6258575022220612, 0.8475870132446289]",0.8994252369464062,0.00631161364937121,0.19404276797645972,0.25,0.14907085532057526,0.1,0.1,0.1
5,1,1,0.6265404,"[7.524137115478516, 1.3328489780426025]",[0. 0. 0. 0. 0.],[0.         0.         0.00240385 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0210723876953125, 0.02303314208984375, 0.024993896484375, 0.024993896484375, 0.024993896484375]","[0.0315399169921875, 0.03350067138671875, 0.03546142578125, 0.03546142578125, 0.03546142578125]","[0.023988889530301094, 0.02306666597723961, 0.022144444286823273, 0.022144444286823273, 0.022144444286823273]",[0.0031247  0.0030454  0.00297328 0.0029324  0.00290667],0.03098823,0.014026965,"[2.813734626770019, 8.168775367736815, 7.627709579467774, 8.077124214172363, 7.576662063598633]","[2.980628108978271, 8.308009910583495, 7.191542625427246, 8.687823867797851, 7.517446899414063]",0.9024099902720487,0.07677777146152627,0.1873286793532881,0.25,0.1526901466687729,0.03657493125000001,0.1,0.09903846153846155
6,1,1,0.8255112,"[1.3454220294952393, 2.04547700881958]",[0.         0.01588785 0.01168831 0.         0.00864865],[0.         0.00411379 0.         0.         0.00123837],[0. 0. 0. 0. 0.],"[0.00621795654296875, 0.0097808837890625, 0.015429687686264515, 0.01226806640625, 0.02159729041159153]","[0.01622772216796875, 0.0197906494140625, 0.02543945237994194, 0.02227783203125, 0.03160705417394638]","[0.024566667154431343, 0.028279999271035194, 0.0261844452470541, 0.019588889554142952, 0.021042222157120705]",[0.00280792 0.00312635 0.00404038 0.00386868 0.00381059],0.029338984,0.0133712385,"[8.53629150390625, 9.511817359924317, 8.915858840942382, 8.679669380187988, 9.259657096862792]","[8.685028648376464, 9.150466156005859, 8.716830062866212, 8.529205894470214, 9.224009895324707]",0.9556085181347709,0.09305219146601765,0.2,0.24094379729893747,0.1459185799003022,0.07783481451388889,0.1,0.09785913495562468
7,1,1,0.21327162,"[2.0617549419403076, 2.3828980445861814]",[0.         0.01453488 0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.01513671875, 0.012908935546875, 0.01068115234375, 0.01068115234375, 0.01068115234375]","[0.025146484375, 0.022918701171875, 0.02069091796875, 0.02069091796875, 0.02069091796875]","[0.02773333340883255, 0.02424444444477558, 0.020755555480718613, 0.020755555480718613, 0.020755555480718613]",[0.00413573 0.00417321 0.0042145  0.0041655  0.00413015],0.02887184,0.013059302,"[8.95347557067871, 8.083228492736817, 7.185294723510743, 6.565641212463379, 6.813848114013672]","[8.70657901763916, 7.620298385620117, 7.185321617126465, 6.3849481582641605, 7.020967864990235]",0.9600611912215986,0.0821736340441108,0.2,0.24636627906976744,0.14673337505216485,0.08478790305555556,0.1,0.1
8,1,1,0.45899308,"[2.4027860164642334, 2.7907620429992672]",[0. 0. 0. 0. 0.],[0.        0.        0.        0.0027933 0.       ],[0. 0. 0. 0. 0.],"[0.0098419189453125, 0.0187530517578125, 0.0187530517578125, 0.0187530517578125, 0.01116943359375]","[0.0198516845703125, 0.0287628173828125, 0.0287628173828125, 0.0287628173828125, 0.02117919921875]","[0.019477777183055878, 0.018977778032422066, 0.018977778032422066, 0.018977778032422066, 0.01716666668653488]",[0.0040632  0.00400422 0.00395522 0.00390132 0.00386581],0.028692337,0.012711477,"[7.537775039672852, 8.833292007446289, 8.357341957092284, 7.910524559020996, 6.838602828979492]","[7.749712181091309, 8.659023094177247, 8.269209861755371, 8.037830924987793, 7.106872940063477]",0.9932026820232603,0.0850835968389049,0.19817795526413692,0.25,0.16105844835597272,0.1,0.1,0.09888268156424582
9,1,1,0.087249994,"[2.8299091339111326, 3.2214950561523437]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.01116943359375, 0.013702392578125, 0.0191192626953125, 0.022003173828125, 0.022003173828125]","[0.02117919921875, 0.023712158203125, 0.0291290283203125, 0.032012939453125, 0.032012939453125]","[0.01716666668653488, 0.02106666751205921, 0.023366667330265045, 0.02176666632294655, 0.02176666632294655]",[0.00380501 0.00376342 0.00372978 0.00370514 0.00368306],0.028579613,0.012434325,"[7.007159423828125, 6.872661590576172, 6.939631843566895, 6.689957237243653, 5.699566078186035]","[6.571399307250977, 6.732934379577637, 6.651352882385254, 6.49979419708252, 5.786525726318359]",0.9640442319486003,0.07500965898489956,0.1983397945280998,0.25,0.1537542794772677,0.08694049895833333,0.1,0.1
10,2,1,0.87014484,"[3.2516339302062987, 3.7743531227111813]",[0.         0.         0.04060914 0.         0.        ],[0.         0.00227273 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0, 0.01080322265625, 0.02930450439453125, 0.0478057861328125, 0.0478057861328125]","[0.0069732666015625, 0.0177764892578125, 0.03627777099609375, 0.054779052734375, 0.054779052734375]","[0.0210999995470047, 0.029999999329447746, 0.029694443568587303, 0.02938888967037201, 0.02938888967037201]",[0.0036339  0.00357736 0.00377467 0.00396359 0.00391267],0.028757514,0.013063908,"[6.542411994934082, 7.889166450500488, 9.441177558898925, 9.765419006347656, 10.0]","[6.561077308654785, 7.930850982666016, 9.771701240539551, 9.466858100891113, 10.0]",0.9427050269612973,0.09125012230191651,0.19081232024402153,0.2398477157360406,0.14343145750507622,0.07827250208333333,0.1,0.0990909090909091
11,2,1,0.5017631,"[3.8208218574523922, 4.972007083892822]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.00163399 0.        ],[0. 0. 0. 0. 0.],"[0.008183796890079975, 0.0026092529296875, 0.02056884765625, 0.0162353515625, 0.0260162353515625]","[0.015157063491642475, 0.00958251953125, 0.0275421142578125, 0.0232086181640625, 0.032989501953125]","[0.02818518504500389, 0.027488889172673225, 0.03253333270549774, 0.031655553728342056, 0.03096666745841503]",[0.0046096  0.00451904 0.00442713 0.004352   0.00429673],0.028138664,0.012971344,"[9.799154472351074, 9.009498405456544, 8.84343318939209, 9.351574325561524, 8.651605033874512]","[9.964459800720215, 9.099142837524415, 8.726661109924317, 9.084828567504882, 8.58159008026123]",0.9834101081787602,0.09410813094572307,0.2,0.25,0.13995557200427894,0.1,0.1,0.09934640522875818
