step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[6.067798042297364, 9.66180419921875]",[0. 0. 0. 0. 0.],[0.0002193  0.00133364 0.00094867 0.         0.        ],[1.8115941e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.008385658264160156, 0.013274192810058594, 0.02250194549560547, 0.027810096740722656, 0.01698589324951172]","[0.017128944396972656, 0.022017478942871094, 0.03124523162841797, 0.036553382873535156, 0.02572917938232422]","[0.025366665795445442, 0.024206943809986115, 0.020921528339385986, 0.027260417118668556, 0.023372916504740715]",[0. 0. 0. 0. 0.],0.026534844,0.013916216,"[7.237155914306641, 6.827855110168457, 6.687829208374024, 6.9015625, 7.118553924560547]","[6.99560432434082, 6.746654129028321, 6.604719924926758, 6.788870239257813, 6.930820465087891]",0.8999809244713058,0.07761966632482376,0.2,0.25,0.07372421900938686,0.1,0.09963768115942029,0.0989993579776749
2,0,1,-0.46042657,"[9.781512260437012, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.033935546875, 0.033935546875, 0.033935546875, 0.033935546875, 0.0243988037109375]","[0.0426788330078125, 0.0426788330078125, 0.0426788330078125, 0.0426788330078125, 0.03314208984375]","[0.022633332759141922, 0.022633332759141922, 0.022633332759141922, 0.022633332759141922, 0.028122222051024437]",[0.00558449 0.00554933 0.00551373 0.00549073 0.00545359],0.027372293,0.013940817,"[7.708931732177734, 4.71530294418335, 3.2165160179138184, 3.934494876861572, 4.4941919326782225]","[8.630943870544433, 4.761163997650146, 3.2125829696655273, 3.407608890533447, 4.362838077545166]",0.8380643307082901,0.058223324399558296,0.1790637633379768,0.25,0.07307623932492179,0.07770100364583335,0.1,0.1
3,0,1,-0.918053,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0196533203125, 0.0196533203125, 0.0196533203125, 0.0196533203125, 0.0279693603515625]","[0.0283966064453125, 0.0283966064453125, 0.0283966064453125, 0.0283966064453125, 0.036712646484375]","[0.018433332443237305, 0.018433332443237305, 0.018433332443237305, 0.018433332443237305, 0.019388888031244278]",[0.00542415 0.00540808 0.00539252 0.00538135 0.0053719 ],0.027549826,0.013364653,"[1.346188497543335, 1.0779414892196655, 1.1581220149993896, 0.9760110020637512, 0.9823340058326722]","[1.3180604934692384, 1.063277530670166, 1.0992259979248047, 0.9663830161094665, 0.977930998802185]",0.8039522560831042,0.011933263971435668,0.2,0.25,0.08062074419500183,0.06139824791666666,0.1,0.1
4,0,1,-0.96694475,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0279693603515625, 0.0279693603515625, 0.0265655517578125, 0.0265655517578125, 0.0001220703125]","[0.036712646484375, 0.036712646484375, 0.035308837890625, 0.035308837890625, 0.0088653564453125]","[0.019388888031244278, 0.019388888031244278, 0.019566666334867477, 0.019566666334867477, 0.02321111038327217]",[0.00535407 0.00533881 0.00532828 0.00531833 0.00531236],0.028030246,0.0131033985,"[1.0328949689865112, 0.7474214911460877, 0.7376729846000671, 0.6712565004825592, 0.5481289982795715]","[1.054839015007019, 0.7110190153121949, 0.7204759836196899, 0.650203001499176, 0.5499119967222214]",0.8312481546027736,0.006033634285077259,0.1982024398504519,0.25,0.07701208046724445,0.1,0.1,0.1
5,1,1,0.6265404,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0026702880859375, 0.0, 0.0, 0.025146484375, 0.025146484375]","[0.006195068359375, 0.0035247802734375, 0.0035247802734375, 0.0286712646484375, 0.0286712646484375]","[0.02191111072897911, 0.02061111107468605, 0.02061111107468605, 0.02590000070631504, 0.02590000070631504]",[0.00527594 0.0051816  0.00506217 0.00496957 0.00489389],0.026771065,0.013658783,"[2.632256507873535, 8.216929817199707, 7.844020652770996, 8.492486953735352, 8.663961791992188]","[2.557801532745361, 8.547892951965332, 7.860367965698242, 8.258173751831054, 8.830148887634277]",0.8372580723127716,0.07937769815527536,0.2,0.25,0.07478095957416302,0.033099414583333334,0.1,0.1
6,1,1,0.8255112,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.         0.         0.00092593 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0245361328125, 0.03170166164636612, 0.027545928955078125, 0.0367584228515625, 0.0289306640625]","[0.0280609130859375, 0.03522644191980362, 0.031070709228515625, 0.040283203125, 0.0324554443359375]","[0.026355555281043053, 0.0281333327293396, 0.025466667488217354, 0.0209666658192873, 0.02410000003874302]",[0.00460176 0.00439634 0.00421829 0.00405838 0.00391574],0.027844077,0.01289449,"[8.996974563598632, 9.79755973815918, 9.53454875946045, 9.782021522521973, 9.55567512512207]","[8.878279876708984, 9.589997673034668, 9.214852905273437, 9.203171920776366, 9.28112335205078]",0.8728682105852953,0.09687914483932075,0.17791045741031045,0.25,0.07306798683103446,0.07538099187500001,0.1,0.09962962962962964
7,1,1,0.21327162,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0263214111328125, 0.0411529541015625, 0.02713775634765625, 0.01312255859375, 0.01312255859375]","[0.02984619140625, 0.044677734375, 0.03066253662109375, 0.0166473388671875, 0.0166473388671875]","[0.025144444778561592, 0.021655555814504623, 0.02076111175119877, 0.019866665825247765, 0.019866665825247765]",[0.00379516 0.00374686 0.00369926 0.0036674  0.00364874],0.02799241,0.012867232,"[8.410373878479003, 6.679505348205566, 8.296640777587891, 7.4101917266845705, 7.240479850769043]","[8.89184856414795, 6.805413246154785, 8.189122962951659, 7.647216033935547, 7.069042205810547]",0.888182855808016,0.08285704948064893,0.2,0.25,0.07538744674403369,0.07993835958333334,0.1,0.1
8,1,1,0.45899308,"[6.628837776184082, 7.301587867736816]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.00179856 0.        ],[0. 0. 0. 0. 0.],"[0.013519287109375, 0.013916015625, 0.013916015625, 0.011871337890625, 0.00982666015625]","[0.0170440673828125, 0.0174407958984375, 0.0174407958984375, 0.0153961181640625, 0.0133514404296875]","[0.02142222225666046, 0.022977778688073158, 0.022977778688073158, 0.024088889360427856, 0.025200000032782555]",[0.00359542 0.00355252 0.00350544 0.00345128 0.00341409],0.0272995,0.012779719,"[7.427970695495605, 7.152545738220215, 9.575503730773926, 8.00436611175537, 7.85400390625]","[7.60651912689209, 7.130096435546875, 9.651669311523438, 7.7411949157714846, 8.534193801879884]",0.9105238885934727,0.0859009690657802,0.2,0.25,0.0753423439881241,0.1,0.1,0.09928057553956836
9,1,1,0.087249994,"[7.3647970199584964, 8.485813903808594]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0086212158203125, 0.007415771484375, 0.007415771484375, 0.007415771484375, 0.014923095703125]","[0.01214599609375, 0.0109405517578125, 0.0109405517578125, 0.0109405517578125, 0.0184478759765625]","[0.022483333945274353, 0.019766665995121002, 0.019766665995121002, 0.019766665995121002, 0.01957777701318264]",[0.0033692  0.00333599 0.00330675 0.00327361 0.00325203],0.0264359,0.012916229,"[7.350450706481934, 6.256903648376465, 6.887569236755371, 6.35089340209961, 6.600494766235352]","[7.231181526184082, 6.009467506408692, 6.720577621459961, 6.4175769805908205, 6.453772926330567]",0.8893808755020702,0.0754101411015295,0.2,0.25,0.07765423231720751,0.08631650208333336,0.1,0.1
10,2,1,0.87014484,"[8.600213050842285, 8.097653198242186]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.01567840576171875, 0.0164337158203125, 0.0164337158203125, 0.0164337158203125, 0.0164337158203125]","[0.01920318603515625, 0.01995849609375, 0.01995849609375, 0.01995849609375, 0.01995849609375]","[0.019255556166172028, 0.018933333456516266, 0.018933333456516266, 0.018933333456516266, 0.018933333456516266]",[0.0031991  0.0031551  0.00311295 0.00308404 0.00305721],0.02611656,0.012683688,"[8.378053474426268, 9.6199125289917, 10.0, 10.0, 9.063223266601563]","[8.33681526184082, 9.514755058288575, 10.0, 10.0, 8.97156810760498]",0.8944776924896338,0.0960529460524472,0.19603023414840243,0.25,0.08075884041378426,0.07163567187500001,0.1,0.1
11,2,1,0.50238085,"[8.175929069519043, 8.136020088195801]",[0.         0.02347418 0.         0.         0.        ],[0.         0.         0.00165017 0.         0.00255102],[0. 0. 0. 0. 0.],"[0.0192413330078125, 0.0250244140625, 0.01999664306640625, 0.0149688720703125, 0.0149688720703125]","[0.02276611328125, 0.0285491943359375, 0.02352142333984375, 0.01849365234375, 0.01849365234375]","[0.02988888882100582, 0.02361111156642437, 0.023394444957375526, 0.023177778348326683, 0.023177778348326683]",[0.00296337 0.00333002 0.00327488 0.00324237 0.00320601],0.025901837,0.0123283565,"[10.0, 9.636017799377441, 8.960044479370117, 8.469819068908691, 9.355566024780273]","[10.0, 9.360312461853027, 9.070025634765624, 8.711073684692384, 9.123359680175781]",0.9086292059269339,0.09517267718285376,0.19921114191662667,0.24413145539906103,0.07179440559825843,0.1,0.1,0.09831952583013404
12,2,1,-0.60191166,"[8.211505889892578, 9.900918769836426]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0166015625, 0.01801300048828125, 0.0194244384765625, 0.0194244384765625, 0.0207061767578125]","[0.0201263427734375, 0.02153778076171875, 0.02294921875, 0.02294921875, 0.02423095703125]","[0.019688889384269714, 0.020927777513861656, 0.022166667506098747, 0.022166667506098747, 0.019188888370990753]",[0.00315232 0.00312649 0.00311311 0.00310268 0.00309139],0.025684958,0.012005014,"[7.916742134094238, 4.076007080078125, 3.38914098739624, 2.75300555229187, 2.797974967956543]","[7.937798118591308, 3.9823500633239743, 3.410282516479492, 2.7236480236053464, 2.7557960510253903]",0.8265836459216473,0.051745370120902016,0.2,0.25,0.07793947718963429,0.046898798611111105,0.1,0.1
13,2,1,-0.66657126,"[9.980483245849609, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0219879150390625, 0.02117411233484745, 0.0207672119140625, 0.0207672119140625, 0.0117645263671875]","[0.0255126953125, 0.02469889260828495, 0.0242919921875, 0.0242919921875, 0.015289306640625]","[0.01621111109852791, 0.018699999898672104, 0.0199444442987442, 0.0199444442987442, 0.02173333242535591]",[0.00306902 0.00305434 0.00304212 0.00303158 0.00302038],0.025537245,0.0116903875,"[2.8710243225097654, 2.6354747295379637, 2.3398735523223877, 2.613837957382202, 2.382415533065796]","[2.7460176467895505, 2.5987696647644043, 2.337261438369751, 2.4617265224456784, 2.3297890186309815]",0.8442776445174491,0.032796422971478445,0.2,0.25,0.07833589758763744,0.08314532395833335,0.1,0.1
14,2,1,-0.09804475,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.00943396 0.        ],[0. 0. 0. 0. 0.],"[0.0117645263671875, 0.0117645263671875, 0.0117645263671875, 0.021728515625, 0.021728515625]","[0.015289306640625, 0.015289306640625, 0.015289306640625, 0.0252532958984375, 0.0252532958984375]","[0.02173333242535591, 0.02173333242535591, 0.02173333242535591, 0.017033332958817482, 0.017033332958817482]",[0.0030071  0.00300013 0.00299582 0.00298785 0.00297925],0.025337439,0.011606177,"[2.395885944366455, 2.2181849479675293, 2.1085179328918455, 2.6625680446624753, 3.5673460960388184]","[2.3390734672546385, 2.2210900306701657, 2.1456329822540283, 2.7159249782562256, 3.562197971343994]",0.8576416873688635,0.03307937468688642,0.2,0.25,0.07833589758763744,0.1,0.1,0.09622641509433963
15,3,1,-0.89004195,"[10.0, 5.733410263061524]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0130615234375, 0.0242462158203125, 0.0242462158203125, 0.0242462158203125, 0.0242462158203125]","[0.0165863037109375, 0.02777099609375, 0.02777099609375, 0.02777099609375, 0.02777099609375]","[0.019999999552965164, 0.02177777700126171, 0.02177777700126171, 0.02177777700126171, 0.02177777700126171]",[0.00367118 0.00366572 0.00366335 0.00366081 0.00365766],0.02530114,0.011478316,"[2.7920485019683836, 1.2664720296859742, 1.129316020011902, 1.1474280118942262, 1.2689430236816406]","[2.745324993133545, 1.3049309730529783, 1.1516370058059693, 1.1546380043029785, 1.3038389921188354]",0.8290605546154803,0.01828354509458564,0.19362438594069437,0.25,0.07829490587186706,0.08885771770833334,0.1,0.1
16,3,1,-0.59364593,"[5.78615894317627, 7.935857200622559]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.022800445556640625, 0.0185546875, 0.02551778219640255, 0.0394439697265625, 0.0394439697265625]","[0.026325225830078125, 0.0220794677734375, 0.02904256246984005, 0.04296875, 0.04296875]","[0.022324999794363976, 0.023766666650772095, 0.023844445124268532, 0.024000000208616257, 0.024000000208616257]",[0.00364117 0.00363035 0.00361564 0.00359815 0.00358077],0.025770575,0.011475455,"[1.1812567472457887, 1.0551120281219482, 2.267506980895996, 2.848533248901367, 2.673066282272339]","[1.1677617311477662, 1.0543907642364503, 2.264413928985596, 2.846782302856445, 2.6765309810638427]",0.8409936986345713,0.025254099058928142,0.18940391870804166,0.25,0.07633568086760154,0.1,0.1,0.1
