time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/fps,time/episodes,train/learning_rate
200,-3.3724467754364014,43.480273999999994,189,596,0.10000000149011612,0.0027462353464215994,50.0,0,4,0.00067214
400,-6.666056156158447,43.389720999999994,389,1196,0.10000000149011612,0.002146007027477026,50.0,0,8,0.00064414
600,-10.147989273071289,43.39349741666666,589,1792,0.10000000149011612,0.0027004953008145094,50.0,0,12,0.0006161399999999999
800,-13.65342903137207,43.3660445,789,2390,0.10000000149011612,0.004634348675608635,50.0,0,16,0.00058814
1000,-17.286619186401367,43.3713239,989,2989,0.10000000149011612,0.0036401143297553062,50.0,0,20,0.00056014
1200,-20.819747924804688,43.374577708333334,1189,3586,0.10000000149011612,0.009152094833552837,50.0,0,24,0.00053214
1400,-24.452688217163086,43.36759024999999,1389,4184,0.10000000149011612,0.0033945702016353607,50.0,0,28,0.0005041399999999999
1600,-28.04500389099121,43.398114343749995,1589,4781,0.10000000149011612,0.00537538155913353,50.0,0,32,0.00047614
1800,-31.5629825592041,43.41308591666667,1789,5415,0.10000000149011612,0.007103537209331989,50.0,0,36,0.00044814
2000,-35.174251556396484,43.41482495,1989,6011,0.10000000149011612,0.005989063065499067,50.0,0,40,0.00042014000000000005
2200,-38.6652946472168,43.42180245454545,2189,6612,0.10000000149011612,0.029555752873420715,50.0,0,44,0.00039214
2400,-42.195579528808594,43.416176625,2389,7210,0.10000000149011612,0.010507586412131786,50.0,0,48,0.00036414
2600,-45.74565124511719,43.423130365384615,2589,7809,0.10000000149011612,0.005714420694857836,50.0,0,52,0.00033613999999999996
2800,-49.24590301513672,43.42197744642856,2789,8408,0.10000000149011612,0.003967422526329756,50.0,0,56,0.00030814000000000004
3000,-52.74692916870117,43.41957093333331,2989,9008,0.10000000149011612,0.01051061600446701,50.0,0,60,0.00028014
3200,-56.246986389160156,43.410348203125004,3189,9608,0.10000000149011612,0.006732719950377941,50.0,0,64,0.00025214
3400,-59.720245361328125,43.409589529411775,3389,10231,0.10000000149011612,0.004288405179977417,50.0,0,68,0.00022414000000000003
3600,-63.187007904052734,43.405673416666666,3589,10825,0.10000000149011612,0.006628674454987049,50.0,0,72,0.00019614
3800,-66.64247131347656,43.420618947368425,3789,11424,0.10000000149011612,0.0057767825201153755,50.0,0,76,0.00016813999999999997
4000,-70.07978820800781,43.4222193625,3989,12024,0.10000000149011612,0.006238863337785006,50.0,0,80,0.00014014000000000002
4200,-73.52006530761719,43.421423250000004,4189,12624,0.10000000149011612,0.005583448335528374,50.0,0,84,0.00011214000000000001
4400,-76.9438247680664,43.423381886363636,4389,13220,0.10000000149011612,0.007258604280650616,50.0,0,88,8.413999999999998e-05
