step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[6.057999038696289, 8.429367065429688]",[0.         0.00898439 0.         0.         0.        ],[0.00030848 0.00152705 0.         0.0009913  0.0004065 ],[2.3088289e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.013775825500488281, 0.03610515594482422, 0.02227884903550148, 0.01365559920668602, 0.02181701734662056]","[0.02225971221923828, 0.04458904266357422, 0.03076273575425148, 0.02213948592543602, 0.03030090406537056]","[0.025122221559286118, 0.02274513803422451, 0.020384443923830986, 0.021682221442461014, 0.02344370447099209]",[0.         0.00236417 0.00284538 0.00225034 0.00185621],0.030099051,0.014286934,"[7.019304466247559, 7.1464506149292, 6.6755365371704105, 6.539252853393555, 6.774921607971192]","[6.937112426757813, 6.884045600891113, 6.633727264404297, 6.490426635742188, 6.872581481933594]",0.898001626214304,0.07659730775862023,0.2,0.2477539034367528,0.07540551100573772,0.1,0.0995382342076099,0.09870666980558347
2,0,1,-0.46042657,"[8.503647232055664, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0133056640625, 0.0133056640625, 0.0133056640625, 0.0133056640625, 0.04248046875]","[0.02178955078125, 0.02178955078125, 0.02178955078125, 0.02178955078125, 0.05096435546875]","[0.023766666650772095, 0.023766666650772095, 0.023766666650772095, 0.023766666650772095, 0.018666666001081467]",[0.00372942 0.00369654 0.00368251 0.00366177 0.00363108],0.029948166,0.014153624,"[6.451128768920898, 4.432944011688233, 3.308973979949951, 3.029460906982422, 3.6141209602355957]","[6.34752197265625, 4.461963081359864, 3.7016631126403805, 2.8802270889282227, 3.9468270301818844]",0.8503259464091452,0.05153981204529248,0.2,0.25,0.07653371212426929,0.07225242223958336,0.1,0.1
3,0,1,-0.918053,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0426483154296875, 0.0, 0.00122833251953125, 0.0024566650390625, 0.0024566650390625]","[0.05096435546875, 0.0083160400390625, 0.00954437255859375, 0.010772705078125, 0.010772705078125]","[0.018666666001081467, 0.02133333310484886, 0.024433333426713943, 0.027533333748579025, 0.027533333748579025]",[0.00360111 0.00358987 0.00357625 0.00356614 0.00356067],0.029054938,0.014811839,"[2.570317506790161, 1.2292795181274414, 1.049602484703064, 0.924974000453949, 0.9236039996147156]","[2.650647449493408, 1.173019003868103, 1.033433985710144, 0.9155500054359436, 0.9423739910125732]",0.8096051059788503,0.015543745358571887,0.2,0.25,0.0735173012452784,0.070544059375,0.1,0.1
4,0,1,-0.96694475,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0023956298828125, 0.0023345947265625, 0.0023345947265625, 0.0023345947265625, 0.0091552734375]","[0.010711669921875, 0.010650634765625, 0.010650634765625, 0.010650634765625, 0.0174713134765625]","[0.02560555562376976, 0.023677777498960495, 0.023677777498960495, 0.023677777498960495, 0.024744443595409393]",[0.00354881 0.00353992 0.0035327  0.00352609 0.00351979],0.02745195,0.015018579,"[0.752740490436554, 0.6865065038204193, 0.6324369966983795, 0.6145789921283722, 0.6143729984760284]","[0.7690770030021667, 0.6791134953498841, 0.6479810059070588, 0.6084895014762879, 0.6285119950771332]",0.8295663785240893,0.004550818126014111,0.2,0.25,0.07501556039807533,0.1,0.1,0.1
5,1,1,0.6265404,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0272979736328125, 0.0272979736328125, 0.0272979736328125, 0.0229034423828125, 0.0185089111328125]","[0.035614013671875, 0.035614013671875, 0.035614013671875, 0.031219482421875, 0.026824951171875]","[0.021944444626569748, 0.021944444626569748, 0.021944444626569748, 0.023016666993498802, 0.024088889360427856]",[0.00348814 0.00341952 0.00332802 0.00325375 0.00320276],0.02796936,0.014519597,"[2.711564493179321, 8.207460975646972, 9.557587432861329, 10.0, 9.120297241210938]","[2.6710529804229735, 8.292702293395996, 9.333615684509278, 10.0, 9.19909896850586]",0.8124550769020595,0.08526592415638157,0.17654571533203126,0.25,0.07626067491364685,0.024382762499999988,0.1,0.1
6,1,1,0.8255112,"[10.0, 10.0]",[0.         0.00904977 0.         0.         0.01420455],[0.00097276 0.         0.         0.         0.00144509],[0. 0. 0. 0. 0.],"[0.0080413818359375, 0.0150299072265625, 0.019626617431640625, 0.033416748046875, 0.017017364501953125]","[0.016357421875, 0.023345947265625, 0.027942657470703125, 0.0417327880859375, 0.025333404541015625]","[0.0215444453060627, 0.019433332607150078, 0.019891666248440742, 0.021266667172312737, 0.025858333334326744]",[0.00301843 0.00325723 0.00312471 0.00301693 0.00349892],0.027808905,0.013915943,"[9.402154922485352, 9.718741989135742, 8.931123542785645, 8.578192901611327, 9.358974647521972]","[9.301248931884766, 9.453182411193847, 8.987813568115234, 8.280402755737304, 9.287249946594239]",0.8992895418851632,0.09457348219464512,0.2,0.2441864201974496,0.07481402506684855,0.08668275416666668,0.1,0.09903286025955332
7,1,1,0.21327162,"[6.225868988037109, 6.3546350479125975]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0253143310546875, 0.0253143310546875, 0.0253143310546875, 0.01557159423828125, 0.005828857421875]","[0.03363037109375, 0.03363037109375, 0.03363037109375, 0.02388763427734375, 0.0141448974609375]","[0.024966666474938393, 0.024966666474938393, 0.024966666474938393, 0.026911111548542976, 0.02885555475950241]",[0.00359517 0.00355699 0.00350837 0.00346578 0.00342279],0.027906878,0.013615407,"[10.0, 7.323461532592773, 7.163715744018555, 8.343888854980468, 6.95250301361084]","[9.818781089782714, 7.106883811950683, 7.003028678894043, 7.60761604309082, 7.074410057067872]",0.8943776660839904,0.0855503565837439,0.19921878898230783,0.25,0.07253689343460537,0.08707162708333333,0.1,0.1
8,1,1,0.45899308,"[6.428912925720215, 7.003065872192383]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.000274658203125, 0.000274658203125, 0.007537841796875, 0.014801025390625, 0.014801025390625]","[0.0085906982421875, 0.0085906982421875, 0.0158538818359375, 0.0231170654296875, 0.0231170654296875]","[0.0281777773052454, 0.0281777773052454, 0.026322221383452415, 0.02446666732430458, 0.02446666732430458]",[0.00337259 0.00332471 0.00328057 0.00324274 0.00321137],0.027114136,0.013664912,"[7.567687034606934, 8.023587036132811, 8.486327743530273, 7.545191383361817, 6.640843772888184]","[7.6805120468139645, 7.946767425537109, 8.478934860229492, 7.064690589904785, 6.810444068908692]",0.9062454013410676,0.0832103992292766,0.2,0.25,0.07303500211179108,0.1,0.1,0.1
9,1,1,0.087249994,"[7.107315254211426, 8.273394966125489]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.011199951171875, 0.0055999755859375, 0.0, 0.0, 0.0]","[0.0179290771484375, 0.0123291015625, 0.0067291259765625, 0.0067291259765625, 0.0067291259765625]","[0.022655555978417397, 0.02228333242237568, 0.02191111072897911, 0.02191111072897911, 0.02191111072897911]",[0.00315117 0.00311948 0.00309146 0.00306374 0.00303843],0.026147263,0.013880607,"[8.342499542236327, 6.144673156738281, 5.971546363830567, 6.828276824951172, 5.760444068908692]","[8.216592788696289, 6.08315486907959, 6.428598785400391, 6.357398223876953, 6.058428764343262]",0.89136970060777,0.07473616144035156,0.2,0.25,0.0775006172924184,0.089132921875,0.1,0.1
10,2,1,0.87014484,"[8.344374084472657, 9.661971855163575]",[0.         0.         0.02698413 0.         0.        ],[0.         0.00175439 0.         0.00917431 0.        ],[0. 0. 0. 0. 0.],"[0.0, 0.0, 0.00159454345703125, 0.0031890869140625, 0.0031890869140625]","[0.0064849853515625, 0.0064849853515625, 0.00807952880859375, 0.009674072265625, 0.009674072265625]","[0.022077778354287148, 0.022077778354287148, 0.022350000217556953, 0.02262222208082676, 0.02262222208082676]",[0.0029874  0.00293923 0.00316087 0.00339636 0.00336619],0.02524094,0.014115491,"[8.346728706359864, 9.847674560546874, 8.517727470397949, 10.0, 8.26624412536621]","[8.336098289489746, 9.953740692138672, 8.546459579467774, 10.0, 7.659207725524903]",0.8847147661658946,0.09315812333867027,0.2,0.24325396825396825,0.07753026727152973,0.07514388645833334,0.1,0.09562852084339289
