step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[6.080419158935547, 6.154726219177246]",[0.00067441 0.         0.         0.         0.        ],[5.9203125e-05 6.1884668e-04 0.0000000e+00 0.0000000e+00 3.7160906e-04],[2.9601562e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.0190713070333004, 0.014270237646996975, 0.009246826171875, 0.01866803877055645, 0.013398390263319016]","[0.0240304134786129, 0.0192293431609869, 0.0142059326171875, 0.02362714521586895, 0.018357496708631516]","[0.030865078791975975, 0.026242857798933983, 0.028273016214370728, 0.02742539718747139, 0.0239871796220541]",[0.00654674 0.00388566 0.00279419 0.00219055 0.00180338],0.019912278,0.012396747,"[7.509841728210449, 7.006001281738281, 6.853959655761719, 6.834498405456543, 6.70637321472168]","[7.1742088317871096, 7.041738891601563, 6.628512763977051, 6.748473167419434, 6.399410629272461]",0.9832977969271457,0.07784626312439591,0.2,0.29979767769176635,0.10666575092542686,0.1,0.09940796874074952,0.09958013644480707
2,0,1,-0.46042657,"[6.202275848388672, 6.863743782043457]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0158843994140625, 0.0158843994140625, 0.0158843994140625, 0.0158843994140625, 0.0158843994140625]","[0.020843505859375, 0.020843505859375, 0.020843505859375, 0.020843505859375, 0.020843505859375]","[0.0330333337187767, 0.0330333337187767, 0.0330333337187767, 0.0330333337187767, 0.0330333337187767]",[0.0014153  0.00140039 0.00139377 0.00138371 0.00137486],0.019975198,0.011972897,"[5.847513008117676, 5.155095958709717, 3.9091670989990233, 2.857358932495117, 4.665764045715332]","[5.984160041809083, 5.208282089233399, 3.943826961517334, 2.8234749794006344, 4.119258880615234]",0.931990908621448,0.05489991014771028,0.19861240664539614,0.3,0.10446979024867116,0.07400880157967034,0.1,0.1
3,0,1,-0.918053,"[6.927426147460937, 8.02498607635498]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0227508544921875, 0.00567626953125, 0.00567626953125, 0.00567626953125, 0.00567626953125]","[0.0277099609375, 0.0106353759765625, 0.0106353759765625, 0.0106353759765625, 0.0106353759765625]","[0.02590000070631504, 0.025100000202655792, 0.025100000202655792, 0.025100000202655792, 0.025100000202655792]",[0.00136547 0.00136111 0.00135577 0.00135302 0.00135064],0.01948045,0.011703081,"[1.9029924869537354, 0.9932680130004883, 0.8721184968948364, 0.728341007232666, 1.029578971862793]","[1.7681059837341309, 0.9379029989242553, 0.9004714846611023, 0.7162649869918823, 0.9811740040779113]",0.8888330171742379,0.011887827812993482,0.2,0.3,0.11217143936124453,0.06477375,0.1,0.1
4,0,1,-0.96694475,"[8.105677795410156, 9.298587036132812]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0172576904296875, 0.0172576904296875, 0.0172576904296875, 0.0327301025390625, 0.0327301025390625]","[0.022216796875, 0.022216796875, 0.022216796875, 0.037689208984375, 0.037689208984375]","[0.024266665801405907, 0.024266665801405907, 0.024266665801405907, 0.022600000724196434, 0.022600000724196434]",[0.00134523 0.00134224 0.00133919 0.00133577 0.00133264],0.020261157,0.011585815,"[0.9065834879875183, 0.6712399959564209, 0.7038740038871765, 0.7612419843673706, 0.7119070053100587]","[0.8564365148544312, 0.6575545072555542, 0.6908900022506714, 0.7646724939346314, 0.6994009912014008]",0.9018317815591718,0.006092498557889873,0.18157222873561984,0.3,0.11416705426566215,0.1,0.1,0.1
5,1,1,0.6265404,"[9.412345886230469, 4.019204044342041]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0247955322265625, 0.0168609619140625, 0.0168609619140625, 0.01372528076171875, 0.010589599609375]","[0.029754638671875, 0.021820068359375, 0.021820068359375, 0.01868438720703125, 0.0155487060546875]","[0.021161111071705818, 0.019722221419215202, 0.019722221419215202, 0.020233333110809326, 0.02074444480240345]",[0.00131766 0.00129848 0.00126874 0.00123795 0.00121609],0.020434722,0.01121372,"[2.562946510314941, 6.147518730163575, 8.07475070953369, 8.850992584228516, 10.0]","[2.58244252204895, 6.0856777191162115, 8.100234985351562, 9.167196273803711, 10.0]",0.9309182771376334,0.07903162928778099,0.2,0.3,0.11830615201651903,0.03358049583333333,0.1,0.1
6,1,1,0.8255112,"[4.052750110626221, 5.520926094055176]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.         0.00100705],[0. 0. 0. 0. 0.],"[0.024200439453125, 0.03946685791015625, 0.0445556640625, 0.0256500244140625, 0.0256500244140625]","[0.0291595458984375, 0.04442596435546875, 0.0495147705078125, 0.030609130859375, 0.030609130859375]","[0.023133333772420883, 0.027933333069086075, 0.02953333407640457, 0.02585555613040924, 0.02585555613040924]",[0.00114443 0.00109893 0.00105745 0.00102634 0.00099416],0.022820627,0.012398078,"[9.642460250854493, 8.592596435546875, 9.786724472045899, 9.544449615478516, 9.829885864257813]","[9.095653533935547, 8.717260932922363, 9.684919548034667, 9.42655029296875, 9.999101638793945]",0.9573199123108387,0.09651072601513658,0.17764032478006478,0.3,0.10807148941352673,0.07550019184027779,0.1,0.09959718026183284
7,1,1,0.21327162,"[5.585889053344727, 6.473888206481933]",[0.01834862 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.023773193359375, 0.0218963623046875, 0.021820068359375, 0.0217437744140625, 0.0217437744140625]","[0.0287322998046875, 0.02685546875, 0.0267791748046875, 0.026702880859375, 0.026702880859375]","[0.02741111069917679, 0.028966667130589485, 0.02516111172735691, 0.021355556324124336, 0.021355556324124336]",[0.00112473 0.00127696 0.00126076 0.00124358 0.00123619],0.023105225,0.012048308,"[8.54852123260498, 7.465189743041992, 7.856336784362793, 7.244182014465332, 7.894184112548828]","[7.909808731079101, 7.7008459091186525, 7.722523880004883, 6.695334815979004, 7.862898826599121]",0.9700690125443229,0.08436383625523569,0.2,0.2944954128440367,0.1086841434797728,0.08252561996527778,0.1,0.1
8,1,1,0.45899308,"[6.545025253295899, 7.046797180175782]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.00387597 0.        ],[0. 0. 0. 0. 0.],"[0.0217437744140625, 0.0181121826171875, 0.00891876220703125, 0.00335693359375, 0.00335693359375]","[0.026702880859375, 0.0230712890625, 0.01387786865234375, 0.0083160400390625, 0.0083160400390625]","[0.021355556324124336, 0.023872222751379013, 0.02677222155034542, 0.0271555557847023, 0.0271555557847023]",[0.00121792 0.00119473 0.00117757 0.0011622  0.00114968],0.022689592,0.011927219,"[6.542477226257325, 6.445989799499512, 7.703060913085937, 8.125639152526855, 8.105415153503417]","[6.623517417907715, 6.300852966308594, 7.463945770263672, 8.022444915771484, 8.156435775756835]",0.9902552007419657,0.081099353747642,0.2,0.3,0.110706234591223,0.1,0.1,0.09844961240310078
9,1,1,0.087249994,"[7.105611801147461, 8.14946002960205]",[0. 0. 0. 0. 0.],[0.         0.         0.         0.00328947 0.00684932],[0. 0. 0. 0. 0.],"[0.0045318603515625, 0.0045318603515625, 0.009185791015625, 0.009185791015625, 0.00616455078125]","[0.009490966796875, 0.009490966796875, 0.0141448974609375, 0.0141448974609375, 0.0111236572265625]","[0.024933332577347755, 0.024933332577347755, 0.022911110892891884, 0.022911110892891884, 0.022688888013362885]",[0.00123911 0.00122441 0.00121056 0.00119679 0.00118752],0.022000507,0.011860901,"[8.083268547058106, 6.6442255020141605, 6.0372772216796875, 6.86651496887207, 7.123897743225098]","[8.23131046295166, 6.665442276000976, 6.14947624206543, 6.862035751342773, 7.128751754760742]",0.986874265928085,0.07759038698881321,0.2,0.3,0.11333939444035328,0.1,0.1,0.09594448449891853
10,2,1,0.87014484,"[8.261867904663086, 9.61811122894287]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00616455078125, 0.00616455078125, 0.0276947021484375, 0.0325775146484375, 0.0325775146484375]","[0.0111236572265625, 0.0111236572265625, 0.03265380859375, 0.03753662109375, 0.03753662109375]","[0.022688888013362885, 0.022688888013362885, 0.02535555511713028, 0.02284444496035576, 0.02284444496035576]",[0.00116953 0.00115401 0.00113394 0.00111619 0.00110236],0.022161081,0.01190361,"[7.330857276916504, 8.782975769042968, 10.0, 9.961972427368163, 8.935135841369629]","[7.593727493286133, 8.788587951660157, 9.905348777770996, 9.955620956420898, 9.113253974914551]",0.9684299245566703,0.09320403791897688,0.18376730868690894,0.3,0.11282473940911779,0.07863383854166667,0.1,0.1
