step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[6.053337860107422, 8.660703086853028]",[0.00379404 0.         0.         0.00426929 0.        ],[0.00184142 0.         0.00069656 0.00045351 0.        ],[2.2668026e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.01648457907140255, 0.017242431640625, 0.010652669705450535, 0.010162353515625, 0.01369628868997097]","[0.02991231344640255, 0.030670166015625, 0.02408040314912796, 0.023590087890625, 0.02712402306497097]","[0.027005184441804886, 0.029496295377612114, 0.026542222127318382, 0.02876296266913414, 0.02553333342075348]",[0.00262382 0.00215867 0.0015791  0.00151083 0.00194782],0.027075399,0.007824686,"[6.859679412841797, 6.926047134399414, 7.073444175720215, 6.7098133087158205, 6.757077407836914]","[6.683891296386719, 6.828608703613281, 7.026548004150391, 6.703319931030274, 6.769598388671875]",0.8729949655325981,0.15376160654353332,0.2,0.24798416703378856,0.07207417231572442,0.1,0.049773319732517286,0.04940169990703451
2,0,1,-0.46042657,"[8.805878257751464, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02376556396484375, 0.0254058837890625, 0.0, 0.0, 0.0]","[0.02968597412109375, 0.0313262939453125, 0.00592041015625, 0.00592041015625, 0.00592041015625]","[0.02692222222685814, 0.024444444105029106, 0.023866666480898857, 0.023866666480898857, 0.023866666480898857]",[0.00163217 0.00161402 0.00159915 0.00159011 0.00158376],0.02646879,0.008525075,"[5.059839057922363, 3.779506969451904, 3.3413310050964355, 4.108187866210938, 3.377764129638672]","[5.013848972320557, 3.876615524291992, 3.48734188079834, 4.191950035095215, 3.815480041503906]",0.7914553661130515,0.0980129388200574,0.2,0.25,0.07398291159854953,0.06945951569444445,0.05,0.05
3,0,1,-0.918053,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.018768310546875, 0.018768310546875, 0.0093841552734375, 0.0, 0.0]","[0.0245361328125, 0.0245361328125, 0.0151519775390625, 0.005767822265625, 0.005767822265625]","[0.0209666658192873, 0.0209666658192873, 0.023055555298924446, 0.025144444778561592, 0.025144444778561592]",[0.00156658 0.00156164 0.00155656 0.00155182 0.00154621],0.025452666,0.00913774,"[3.4366036415100094, 1.0221850156784058, 0.837785005569458, 1.0378835201263428, 1.0724179983139037]","[3.396189975738525, 1.083195972442627, 0.8589244961738587, 1.0251985311508178, 1.0812579870224]",0.7352331759756827,0.03538688339831563,0.2,0.25,0.07538744674403369,0.07445884583333333,0.05,0.05
4,0,1,-0.96694475,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.003021240234375, 0.0004119873046875, 0.0004119873046875, 0.0, 0.0]","[0.0073699951171875, 0.0047607421875, 0.0047607421875, 0.0043487548828125, 0.0043487548828125]","[0.029711110517382622, 0.02563333325088024, 0.02563333325088024, 0.02854444459080696, 0.02854444459080696]",[0.00154004 0.00153684 0.00153344 0.00152888 0.00152758],0.023630219,0.010473264,"[0.9568430066108704, 0.6875399947166443, 0.7242580056190491, 0.6858154952526092, 0.9337250113487243]","[0.9489450097084046, 0.6740574955940246, 0.7100980162620545, 0.6880465030670166, 0.7950190067291261]",0.7356714228672533,0.013750675785456813,0.2,0.25,0.07192074708179641,0.1,0.05,0.05
5,1,1,0.6265404,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.        0.        0.02      0.0013587 0.       ],[0. 0. 0. 0. 0.],"[0.0, 0.007415771484375, 0.01483154296875, 0.01483154296875, 0.01483154296875]","[0.0043487548828125, 0.0117645263671875, 0.0191802978515625, 0.0191802978515625, 0.0191802978515625]","[0.02854444459080696, 0.030222222208976746, 0.03189999982714653, 0.03189999982714653, 0.03189999982714653]",[0.00151036 0.00148664 0.00145201 0.00142074 0.00139636],0.022854587,0.010552398,"[3.3370454788208006, 8.572053146362304, 6.71314754486084, 8.02567844390869, 10.0]","[3.3613369941711424, 9.028978538513183, 6.751243209838868, 7.985851860046386, 10.0]",0.8038615562685756,0.16132288528273434,0.19444883854017347,0.25,0.07040270282610253,0.03195886875,0.05,0.04572826086956522
6,1,1,0.8255112,"[10.0, 10.0]",[0.         0.00584112 0.         0.02931596 0.02898551],[0.00092593 0.0024338  0.00238095 0.00311549 0.00059809],[0. 0. 0. 0. 0.],"[0.0175933837890625, 0.02960205078125, 0.0416107177734375, 0.04996490478515625, 0.0443878173828125]","[0.021942138671875, 0.0339508056640625, 0.04595947265625, 0.05431365966796875, 0.048736572265625]","[0.03211111202836037, 0.03275555372238159, 0.033399999141693115, 0.03413333371281624, 0.031122222542762756]",[0.00332932 0.0032964  0.0032845  0.00431347 0.00499523],0.025636174,0.012815684,"[7.998024940490723, 8.549938583374024, 7.425829505920411, 9.399253273010254, 9.14050350189209]","[8.2211669921875, 8.654420852661133, 7.813038635253906, 9.2957763671875, 9.791021156311036]",0.8341026597397792,0.17924089679940008,0.16607812734750604,0.23396435258656098,0.06893018613938388,0.08777994729166667,0.05,0.048109149575261426
7,1,1,0.21327162,"[10.0, 10.0]",[0.18067227 0.         0.         0.18324608 0.        ],[0.00219298 0.         0.         0.         0.        ],[0.      0.      0.      0.      0.00625],"[0.03340911865234375, 0.030792236328125, 0.030792236328125, 0.03228759765625, 0.03228759765625]","[0.03775787353515625, 0.0351409912109375, 0.0351409912109375, 0.0366363525390625, 0.0366363525390625]","[0.030105555430054665, 0.03234444558620453, 0.03234444558620453, 0.02755555510520935, 0.02755555510520935]",[0.00777932 0.01016644 0.01003572 0.01250559 0.0123824 ],0.026321521,0.012671297,"[8.979736328125, 6.730604362487793, 6.998836135864258, 8.753957557678223, 7.673721122741699]","[9.036062431335449, 6.896039581298829, 6.958668518066406, 8.806294250488282, 8.097404861450196]",0.7475560550107262,0.16912283155774463,0.19974752192874606,0.15902041444850193,0.07010388356696177,0.1,0.0,0.04956140350877193
8,1,1,0.45899308,"[10.0, 10.0]",[0.         0.00218341 0.         0.         0.        ],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.03228759765625, 0.0303802490234375, 0.0303802490234375, 0.0303802490234375, 0.0303802490234375]","[0.0366363525390625, 0.03472900390625, 0.03472900390625, 0.03472900390625, 0.03472900390625]","[0.02755555510520935, 0.02176666632294655, 0.02176666632294655, 0.02176666632294655, 0.02176666632294655]",[0.01214674 0.01202459 0.01187614 0.0117193  0.01162629],0.02680502,0.012486898,"[9.021217727661133, 9.378297996520995, 8.8260009765625, 10.0, 10.0]","[8.733351898193359, 9.188809013366699, 8.372578620910645, 10.0, 10.0]",0.8956582305663384,0.19255562264357767,0.19699931242028063,0.24945414847161573,0.07350052411419761,0.08314862291666669,0.05,0.05
9,1,1,0.087249994,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.028350830078125, 0.028350830078125, 0.0, 0.0124969482421875, 0.024993896484375]","[0.0311431884765625, 0.0311431884765625, 0.0027923583984375, 0.015289306640625, 0.0277862548828125]","[0.027977777644991875, 0.027977777644991875, 0.02464444376528263, 0.025038888677954674, 0.025433333590626717]",[0.01137818 0.01122575 0.01110513 0.01099401 0.01091931],0.026467055,0.012585563,"[10.0, 8.163256454467772, 6.664690399169922, 6.7574659347534185, 8.60619888305664]","[10.0, 8.160967636108397, 6.091611480712891, 6.674014472961426, 8.097998809814452]",0.880868450371177,0.1723386652276686,0.2,0.25,0.07318375285184164,0.08534603229166668,0.05,0.05
10,2,1,0.87014484,"[10.0, 7.976449966430664]",[0.         0.         0.02588556 0.         0.        ],[0.         0.00724638 0.         0.         0.00561798],[0. 0. 0. 0. 0.],"[0.024993896484375, 0.024993896484375, 0.0112457275390625, 0.0112457275390625, 0.0112457275390625]","[0.0277862548828125, 0.0277862548828125, 0.0140380859375, 0.0140380859375, 0.0140380859375]","[0.025433333590626717, 0.025433333590626717, 0.023366667330265045, 0.023366667330265045, 0.023366667330265045]",[0.01077763 0.01061435 0.01102331 0.01086054 0.01080138],0.026196085,0.012426043,"[8.315596771240234, 9.39959659576416, 10.0, 9.2212890625, 10.0]","[8.440570831298828, 9.81840114593506, 10.0, 9.56892795562744, 10.0]",0.8938216519507951,0.19176391850262073,0.2,0.24352861035422343,0.07515380646188771,0.08594818750000001,0.05,0.047427129132063185
11,2,1,0.5029098,"[8.085849189758301, 10.0]",[0.         0.05717761 0.02653928 0.         0.        ],[0.00108225 0.0029345  0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0068511962890625, 0.0157623291015625, 0.02259317971765995, 0.02734375, 0.02734375]","[0.0096435546875, 0.0185546875, 0.02538553811609745, 0.0301361083984375, 0.0301361083984375]","[0.02572222240269184, 0.027307407930493355, 0.027140740305185318, 0.02522222138941288, 0.02522222138941288]",[0.01116217 0.01184516 0.01228964 0.01257568 0.01243279],0.02586132,0.012239835,"[9.711872100830078, 9.740409088134765, 9.169970893859864, 7.542712593078614, 8.332784652709961]","[9.700607681274414, 9.622316932678222, 9.417791557312011, 7.398351669311523, 8.013767433166503]",0.8852232189298624,0.1849561023479577,0.19831121412374206,0.22907077657414726,0.07368847597921595,0.1,0.05,0.04919664990479943
12,2,1,-0.6033946,"[10.0, 8.978290939331055]",[0.00178253 0.         0.         0.         0.        ],[0.00128205 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0394643135368824, 0.0352935791015625, 0.02072906494140625, 0.00616455078125, 0.00616455078125]","[0.0422566719353199, 0.0380859375, 0.02352142333984375, 0.0089569091796875, 0.0089569091796875]","[0.02388148196041584, 0.023733332753181458, 0.02396666631102562, 0.02419999986886978, 0.02419999986886978]",[0.012149   0.01200517 0.01193388 0.01189075 0.01184745],0.02593308,0.012466909,"[9.476862525939941, 6.1737268447875975, 2.683980941772461, 2.902450942993164, 3.0008020401000977]","[8.824471473693848, 5.915022850036621, 2.540884017944336, 2.7966770648956296, 2.572222948074341]",0.7995804110628724,0.11711900053482467,0.1992043833253245,0.24955436720142601,0.07616724942437403,0.05779182083333334,0.05,0.04974358974358975
13,2,1,-0.66511023,"[9.109139251708985, 10.0]",[0. 0. 0. 0. 0.],[0.00666667 0.         0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.01202392578125, 0.01202392578125, 0.01412200927734375, 0.0162200927734375, 0.0162200927734375]","[0.0148162841796875, 0.0148162841796875, 0.01691436767578125, 0.019012451171875, 0.019012451171875]","[0.022611111402511597, 0.022611111402511597, 0.023261111229658127, 0.023911111056804657, 0.023911111056804657]",[0.01177368 0.01171514 0.01167084 0.01163454 0.01159788],0.02542656,0.012309501,"[2.7776010513305662, 2.7682429313659664, 2.7765360355377195, 2.552025556564331, 2.438721466064453]","[2.7580920219421383, 2.465250015258789, 2.588333940505981, 2.3525919437408445, 2.5092140674591064]",0.7703227197032928,0.06800491174834268,0.2,0.25,0.07641092531606115,0.07724021597222223,0.05,0.04866666666666667
14,2,1,-0.09807438,"[10.0, 2.3767279624938964]",[0.        0.        0.        0.0448718 0.       ],[0.         0.         0.         0.00268456 0.        ],[0. 0. 0. 0. 0.],"[0.0162200927734375, 0.0162200927734375, 0.0191192626953125, 0.037017822265625, 0.037017822265625]","[0.019012451171875, 0.019012451171875, 0.02191162109375, 0.0398101806640625, 0.0398101806640625]","[0.023911111056804657, 0.023911111056804657, 0.030988888815045357, 0.026177776977419853, 0.026177776977419853]",[0.01157067 0.01155281 0.01152464 0.01217916 0.01213763],0.025487164,0.0122598745,"[2.62050199508667, 2.5672240257263184, 2.5028979301452634, 2.3064330577850343, 3.5648221015930175]","[2.6213760375976562, 2.4297650337219237, 2.621646976470947, 2.595070934295654, 3.6991271018981933]",0.7663294401644314,0.06926850209414546,0.18779088462271343,0.2387820512820513,0.07102491491719902,0.1,0.05,0.04946308724832215
15,3,1,-0.89221483,"[2.3961959362030028, 2.905006122589111]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0203399658203125, 0.0203399658203125, 0.02386474609375, 0.02386474609375, 0.0211181640625]","[0.02313232421875, 0.02313232421875, 0.0266571044921875, 0.0266571044921875, 0.0239105224609375]","[0.021533332765102386, 0.021533332765102386, 0.017722222954034805, 0.017722222954034805, 0.021800000220537186]",[0.01202911 0.01197516 0.01195652 0.01193647 0.01191561],0.025439722,0.011950924,"[5.024683952331543, 3.2548474311828612, 1.0825465202331543, 1.1744945049285889, 1.1940930128097533]","[4.984094333648682, 3.2784949302673336, 1.0402219772338868, 1.1880375146865845, 1.1266649961471558]",0.7880483708281523,0.05977393181055264,0.2,0.25,0.07827443901759956,0.1,0.05,0.05
16,3,1,-0.5949303,"[2.9303791046142575, 4.049192142486572]",[0. 0. 0. 0. 0.],[0.        0.0078125 0.        0.        0.       ],[0. 0. 0. 0. 0.],"[0.017032623291015625, 0.01784515380859375, 0.0175933837890625, 0.0073394775390625, 0.0022125244140625]","[0.019824981689453125, 0.02063751220703125, 0.0203857421875, 0.0101318359375, 0.0050048828125]","[0.02228333242237568, 0.02578333392739296, 0.028733333572745323, 0.028325926512479782, 0.028122222051024437]",[0.01185934 0.01182139 0.01177962 0.0117166  0.01165239],0.024717022,0.011904827,"[1.150802731513977, 1.1037192344665527, 1.6641610145568846, 2.1853600025177, 3.1421494483947754]","[1.1547754764556886, 1.1026774644851685, 1.7091889381408691, 2.123258638381958, 2.8680016517639157]",0.7671899701901935,0.046126423747057214,0.2,0.25,0.07262604644313626,0.1,0.05,0.0484375
17,3,1,-0.8798567,"[4.096207046508789, 4.901457118988037]",[0. 0. 0. 0. 0.],[0.     0.0125 0.     0.     0.    ],[0. 0. 0. 0. 0.],"[0.00347900390625, 0.00347900390625, 0.00347900390625, 0.04254150390625, 0.04254150390625]","[0.0062713623046875, 0.0062713623046875, 0.0062713623046875, 0.0453338623046875, 0.0453338623046875]","[0.026322221383452415, 0.026322221383452415, 0.026322221383452415, 0.024566667154431343, 0.024566667154431343]",[0.01157879 0.01154388 0.01152642 0.01150696 0.01148403],0.024526604,0.0123282755,"[2.688075065612793, 1.318655014038086, 1.0330435276031493, 1.1584019660949707, 1.26301748752594]","[2.625301647186279, 1.3273500204086304, 1.0338375329971314, 1.2033185243606568, 1.2444669723510742]",0.7522765028495969,0.03571244394159751,0.19461574943698184,0.25,0.07444830947101759,0.1,0.05,0.0475
