step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack,reward/pen
1,0,1,0.2739234,"[6.214781951904297, 6.333938980102539]",[0.00028606 0.         0.         0.         0.        ],[1.5120587e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],[1.5120587e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.008731079287827015, 0.007069178856909275, 0.0150920320302248, 0.014862060546875, 0.007147652562707663]","[0.02147216722369194, 0.01981026865541935, 0.0278331208974123, 0.0276031494140625, 0.01988874189555645]","[0.03672444447875023, 0.02903015911579132, 0.029858730733394623, 0.02310158684849739, 0.02674761973321438]",[0.00345761 0.00242019 0.00183787 0.0014867  0.0012621 ],0.023295444,0.007400204,"[6.661501502990723, 6.800508880615235, 7.9158632278442385, 6.342277145385743, 7.4498083114624025]","[6.517830085754395, 6.871430206298828, 7.942312240600586, 6.149539184570313, 7.477754211425782]",0.9127447406748046,0.19567873426613938,0.19998697660818426,0.24992848539596507,0.06730477438863929,0.1,0.049848794133212374,0.049996975882664246,
2,0,1,-0.46042657,"[6.385820770263672, 7.47080192565918]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0, 0.0062255859375, 0.014617919921875, 0.02301025390625, 0.02301025390625]","[0.0127410888671875, 0.0189666748046875, 0.0273590087890625, 0.0357513427734375, 0.0357513427734375]","[0.01653333380818367, 0.020555555820465088, 0.021094445139169693, 0.02163333259522915, 0.02163333259522915]",[0.00113102 0.00112023 0.00110604 0.00109719 0.00108932],0.02349205,0.007733598,"[6.90013656616211, 3.6314438819885253, 3.493196392059326, 3.2570650100708005, 2.9823750495910644]","[7.07474308013916, 3.407038402557373, 3.57724609375, 3.201842975616455, 2.8560010910034177]",0.8190424962631633,0.12577103447924318,0.1958966772896903,0.25,0.07842841375018209,0.06894637074404764,0.05,0.05,
3,0,1,-0.918053,"[7.547663879394531, 8.74013023376465]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0012359619140625, 0.0012359619140625, 0.011962890625, 0.0226898193359375, 0.0226898193359375]","[0.01397705078125, 0.01397705078125, 0.0247039794921875, 0.035430908203125, 0.035430908203125]","[0.023277778178453445, 0.023277778178453445, 0.020027777180075645, 0.016777778044342995, 0.016777778044342995]",[0.0010767  0.00107263 0.00106892 0.0010667  0.00106437],0.023358433,0.008022268,"[1.86930251121521, 0.9375105023384094, 0.8730475068092346, 0.9818310022354126, 0.9968740105628967]","[1.8210575103759767, 0.939739990234375, 0.8791419863700867, 0.9794219851493835, 1.010630989074707]",0.7272941070960243,0.03076839574428233,0.2,0.25,0.07695415197674187,0.069571559375,0.05,0.05,
4,0,1,-0.96694475,"[8.816469764709472, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02040863037109375, 0.01812744140625, 0.01812744140625, 0.01812744140625, 0.0190277099609375]","[0.03314971923828125, 0.0308685302734375, 0.0308685302734375, 0.0308685302734375, 0.031768798828125]","[0.022683333605527878, 0.02858888916671276, 0.02858888916671276, 0.02858888916671276, 0.026333333924412727]",[0.0010582  0.00105603 0.00105392 0.00105234 0.00105106],0.024041176,0.008019206,"[0.7873499989509583, 0.6148444950580597, 0.6503255069255829, 0.728698992729187, 0.7498900175094605]","[0.8040144920349122, 0.613002496957779, 0.6735750019550324, 0.7659019827842712, 0.7245450019836426]",0.7255392676744844,0.013340148042126562,0.18946733474731448,0.25,0.07273178488504327,0.1,0.05,0.05,
5,1,1,0.6265404,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0110321044921875, 0.00140380859375, 0.0, 0.0, 0.0]","[0.0235443115234375, 0.013916015625, 0.01251220703125, 0.01251220703125, 0.01251220703125]","[0.025527777150273323, 0.02782222256064415, 0.03092222288250923, 0.03092222288250923, 0.03092222288250923]",[0.00103189 0.00100823 0.00098531 0.0009687  0.00095843],0.023393484,0.008207837,"[5.1349695205688475, 8.851821136474609, 9.143786239624024, 8.083238220214843, 10.0]","[5.223479270935059, 8.551184272766113, 9.268930244445801, 8.218719100952148, 10.0]",0.861823670021997,0.21925833841865974,0.2,0.25,0.07107096806167049,0.021494363541666672,0.05,0.05,
6,1,1,0.8255112,"[7.30150203704834, 8.500272941589355]",[0.00850138 0.01496599 0.03179487 0.         0.10199005],[0.00060864 0.         0.00384381 0.0045045  0.003125  ],[0. 0. 0. 0. 0.],"[0.02102152444422245, 0.0140533447265625, 0.015233357436954975, 0.0175933837890625, 0.01697540283203125]","[0.0335337333381176, 0.0265655517578125, 0.02774556539952755, 0.0301055908203125, 0.02948760986328125]","[0.02630370296537876, 0.027533333748579025, 0.028703704476356506, 0.03104444406926632, 0.035038888454437256]",[0.00204667 0.00467433 0.00495018 0.00563988 0.00632973],0.024065327,0.008022785,"[8.70713119506836, 7.476572036743164, 10.0, 8.603179359436036, 6.929280090332031]","[8.675828170776366, 7.31541976928711, 10.0, 8.719493103027343, 6.2162925720214846]",0.8805454700608926,0.22112165923184335,0.1828006385738014,0.21068692702827568,0.06835263746288554,0.1,0.05,0.04758360776408651,
7,1,1,0.21327162,"[8.925285911560058, 10.0]",[0.         0.12251656 0.         0.         0.        ],[0.        0.        0.0047619 0.        0.       ],[0. 0. 0. 0. 0.],"[0.016357421875, 0.00894927978515625, 0.0015411376953125, 0.0015411376953125, 0.0062103271484375]","[0.02886962890625, 0.02146148681640625, 0.0140533447265625, 0.0140533447265625, 0.0187225341796875]","[0.03903333470225334, 0.034861110150814056, 0.03068888932466507, 0.03068888932466507, 0.028377776965498924]",[0.00685326 0.00742884 0.007973   0.00787504 0.00779518],0.023740012,0.008025935,"[10.0, 9.72475357055664, 7.411553001403809, 8.350703239440918, 8.552132987976075]","[10.0, 9.673044586181641, 7.39115104675293, 8.423580932617188, 8.988266754150391]",0.9139021249714641,0.22956198611437817,0.2,0.21937086092715233,0.06592165888231452,0.1,0.05,0.04904761904761905,
8,1,1,0.45899308,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0062103271484375, 0.0058441162109375, 0.0054779052734375, 0.0054779052734375, 0.007232666015625]","[0.0187225341796875, 0.0183563232421875, 0.0179901123046875, 0.0179901123046875, 0.019744873046875]","[0.028377776965498924, 0.03043888881802559, 0.032499998807907104, 0.032499998807907104, 0.03484444320201874]",[0.00765418 0.0075416  0.00747757 0.00743065 0.00738286],0.0234671,0.007898384,"[5.425682640075684, 10.0, 8.237728881835936, 3.051168060302734, 6.138868141174316]","[5.6783699035644535, 10.0, 8.181599044799805, 2.9327889442443844, 5.966703224182129]",0.8811890265508427,0.18601679995594092,0.2,0.25,0.0684757588865683,0.07669646770833334,0.05,0.05,
9,1,1,0.087249994,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0.         0.00218341 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.00830078125, 0.009368896484375, 0.009368896484375, 0.02362060546875, 0.02362060546875]","[0.02081298828125, 0.021881103515625, 0.021881103515625, 0.0361328125, 0.0361328125]","[0.032588887959718704, 0.03033333271741867, 0.03033333271741867, 0.02181111089885235, 0.02181111089885235]",[0.00721411 0.00713845 0.00707273 0.00702269 0.0069917 ],0.023564115,0.007829332,"[7.303280448913575, 6.787177085876465, 7.069327163696289, 5.238444137573242, 6.797971725463867]","[7.215299415588379, 6.613895225524902, 6.761680221557618, 5.241634750366211, 6.387425804138184]",0.8962648604195217,0.18747013982542035,0.18929060266373007,0.25,0.06994079915307869,0.1,0.05,0.04956331877729258,
10,2,1,0.87014484,"[5.882015228271484, 6.726927947998047]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.02362060546875, 0.0270843505859375, 0.0270843505859375, 0.0270843505859375, 0.0270843505859375]","[0.0361328125, 0.0395965576171875, 0.0395965576171875, 0.0395965576171875, 0.0395965576171875]","[0.02181111089885235, 0.019288888201117516, 0.019288888201117516, 0.019288888201117516, 0.019288888201117516]",[0.00683157 0.00672682 0.00663691 0.00656187 0.00651475],0.024378425,0.008355546,"[8.40489673614502, 9.005876350402833, 9.194749069213866, 10.0, 10.0]","[8.504954719543457, 9.141924285888672, 9.25761775970459, 10.0, 10.0]",0.9200966769530968,0.23856688820232616,0.18120166343330538,0.25,0.0782642128174652,0.07206391249999998,0.05,0.05,
