train/n_updates,train/actor_loss,time/episodes,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/learning_rate
189,-3.223072052001953,4,50.0,0.10000000149011612,630,0.013314752839505672,42.52507025,0,200,0.00067214
389,-6.517439365386963,8,50.0,0.10000000149011612,1238,0.020794443786144257,42.942741625,0,400,0.00064414
589,-9.958881378173828,12,50.0,0.10000000149011612,1845,0.023740308359265327,42.6296375,0,600,0.0006161399999999999
789,-13.42633056640625,16,50.0,0.10000000149011612,2453,0.019269462674856186,42.905989000000005,0,800,0.00058814
989,-16.92667007446289,20,50.0,0.10000000149011612,3059,0.036509379744529724,42.72274420000001,0,1000,0.00056014
1189,-20.324861526489258,24,50.0,0.10000000149011612,3663,0.02531590685248375,42.668638458333334,0,1200,0.00053214
1389,-23.814075469970703,28,50.0,0.10000000149011612,4265,0.026529304683208466,42.60766964285714,0,1400,0.0005041399999999999
1589,-27.288631439208984,32,50.0,0.10000000149011612,4873,0.025636520236730576,42.595082125,0,1600,0.00047614
1789,-30.749530792236328,36,50.0,0.10000000149011612,5484,0.029880087822675705,42.69238880555555,0,1800,0.00044814
1989,-34.23143768310547,40,50.0,0.10000000149011612,6095,0.043050333857536316,42.7197963,0,2000,0.00042014000000000005
2189,-37.77268981933594,44,50.0,0.10000000149011612,6699,0.01811167597770691,42.78591179545454,0,2200,0.00039214
2389,-41.145790100097656,48,50.0,0.10000000149011612,7298,0.027035782113671303,42.81932827083333,0,2400,0.00036414
2589,-44.51753234863281,52,50.0,0.10000000149011612,7904,0.029977120459079742,42.84695213461539,0,2600,0.00033613999999999996
2789,-47.90520477294922,56,50.0,0.10000000149011612,8506,0.020001593977212906,42.88847916071428,0,2800,0.00030814000000000004
2989,-51.345333099365234,60,50.0,0.10000000149011612,9111,0.026858044788241386,42.98021296666666,0,3000,0.00028014
3189,-54.67646789550781,64,50.0,0.10000000149011612,9714,0.021880481392145157,42.991384546875,0,3200,0.00025214
3389,-58.02922821044922,68,50.0,0.10000000149011612,10316,0.02078760415315628,43.00605577941177,0,3400,0.00022414000000000003
3589,-61.33707809448242,72,50.0,0.10000000149011612,10921,0.0207730233669281,43.059872527777785,0,3600,0.00019614
3789,-64.6754150390625,76,50.0,0.10000000149011612,11526,0.02290680631995201,43.1285470131579,0,3800,0.00016813999999999997
3989,-68.03147888183594,80,50.0,0.10000000149011612,12129,0.019029181450605392,43.173935175000004,0,4000,0.00014014000000000002
4189,-71.30980682373047,84,50.0,0.10000000149011612,12730,0.023745082318782806,43.21084101190476,0,4200,0.00011214000000000001
4389,-74.61666107177734,88,50.0,0.10000000149011612,13330,0.025296928361058235,43.247572727272726,0,4400,8.413999999999998e-05
4589,-77.93091583251953,92,50.0,0.10000000149011612,13954,0.025591909885406494,43.301231989130436,0,4600,5.6140000000000035e-05
4789,-81.2045669555664,96,50.0,0.10000000149011612,14553,0.026066239923238754,43.34095853125,0,4800,2.814000000000001e-05
