step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[6.125980949401856, 8.484001731872558]",[0.00392686 0.         0.         0.00372093 0.00787037],[7.4171141e-05 0.0000000e+00 5.5555557e-04 0.0000000e+00 8.1967213e-04],[4.9447426e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.0074282558634877205, 0.0060272216796875, 0.00832977332174778, 0.014317321591079235, 0.02406921423971653]","[0.015927402302622795, 0.0145263671875, 0.01682891882956028, 0.02281646803021431, 0.03256835788488388]","[0.034361615777015686, 0.027157777920365334, 0.028342222794890404, 0.032135557383298874, 0.03243444487452507]",[0.03609098 0.02600322 0.02056075 0.0178297  0.01552021],0.020443186,0.010168347,"[6.9678541183471685, 6.931064796447754, 7.2846265792846685, 7.304150199890137, 7.205539894104004]","[6.928495025634766, 6.5793300628662115, 6.993698310852051, 6.83278980255127, 6.93115463256836]",0.9462768405701114,0.19781051613464806,0.19995484214415526,0.24612046075279967,0.1031753755536101,0.1,0.049505525749746586,0.04971012023515178
2,0,1,-0.46042657,"[8.556129837036133, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0132598876953125, 0.0427703857421875, 0.030059814453125, 0.0173492431640625, 0.0173492431640625]","[0.021759033203125, 0.05126953125, 0.0385589599609375, 0.025848388671875, 0.025848388671875]","[0.030944444239139557, 0.024177778512239456, 0.022977778688073158, 0.02177777700126171, 0.02177777700126171]",[0.01498646 0.01478119 0.01459033 0.01442707 0.01429748],0.022330074,0.011648089,"[5.777682876586915, 3.966559505462646, 3.6243225097656246, 3.807126998901367, 3.49814510345459]","[5.590896415710449, 3.931634140014648, 3.5800335884094237, 3.778878116607666, 3.6001311302185055]",0.8359841158514449,0.12797786720790683,0.1827132492182986,0.25,0.10658341330781518,0.06870958611742424,0.05,0.05
3,0,1,-0.918053,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.017608642578125, 0.0089569091796875, 0.0089569091796875, 0.0089569091796875, 0.0089569091796875]","[0.0261077880859375, 0.0174560546875, 0.0174560546875, 0.0174560546875, 0.0174560546875]","[0.026799999177455902, 0.019644444808363914, 0.019644444808363914, 0.019644444808363914, 0.019644444808363914]",[0.01404103 0.01398194 0.01391926 0.01387476 0.01385263],0.022006363,0.011042022,"[1.7037309646606444, 0.9712374925613403, 1.0207804679870605, 0.8340250134468079, 1.0813529729843139]","[1.6569795608520508, 0.9831434965133667, 0.9973005175590515, 0.8245059967041015, 1.0434730291366576]",0.7601276411862984,0.03039273121007885,0.2,0.25,0.11111555580955283,0.06861935416666667,0.05,0.05
4,0,1,-0.96694475,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0496368408203125, 0.0496368408203125, 0.0496368408203125, 0.006256103515625, 0.006256103515625]","[0.058135986328125, 0.058135986328125, 0.058135986328125, 0.0147552490234375, 0.0147552490234375]","[0.01877777837216854, 0.01877777837216854, 0.01877777837216854, 0.019966667518019676, 0.019966667518019676]",[0.0137628  0.01372966 0.0136898  0.01366922 0.01364578],0.024703369,0.014404062,"[0.6530299961566925, 0.7315394878387451, 0.7318359971046449, 0.6869300067424775, 0.6008000016212464]","[0.6813860058784484, 0.7334939956665039, 0.718291985988617, 0.6783919990062715, 0.5908909916877747]",0.7526731222534863,0.01226053168910513,0.17036254882812502,0.25,0.12005004173625611,0.1,0.05,0.05
5,1,1,0.6265404,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00933837890625, 0.00933837890625, 0.02915191650390625, 0.0489654541015625, 0.0489654541015625]","[0.0178375244140625, 0.0178375244140625, 0.03765106201171875, 0.057464599609375, 0.057464599609375]","[0.02294444479048252, 0.02294444479048252, 0.020822221413254738, 0.018699999898672104, 0.018699999898672104]",[0.01333931 0.01295823 0.01260606 0.01232894 0.0121889 ],0.025473906,0.01511685,"[5.711637306213379, 7.546446228027344, 8.145697212219238, 10.0, 6.398344039916992]","[5.298097038269043, 7.503384399414062, 8.024263954162597, 10.0, 5.850608062744141]",0.8974717749063559,0.20622229852597015,0.19704405083713764,0.25,0.11586790366824797,0.028337521875000007,0.05,0.05
6,1,1,0.8255112,"[5.762467956542969, 7.608417129516601]",[0.         0.01992883 0.01232877 0.06956521 0.        ],[0.         0.00193237 0.00158852 0.00100402 0.00108696],[0.         0.         0.         0.         0.00108696],"[0.0059753418900072575, 0.0032135010696947575, 0.004058837890625, 0.02991485595703125, 0.05039215087890625]","[0.01447448693215847, 0.01171264611184597, 0.0125579833984375, 0.03841400146484375, 0.05889129638671875]","[0.034344445914030075, 0.03284666687250137, 0.03539999946951866, 0.034066665917634964, 0.029899999499320984]",[0.01737152 0.01666741 0.01720136 0.01922242 0.02056059],0.025568789,0.016630383,"[9.350104331970215, 9.419789123535157, 8.161792755126953, 10.0, 9.043772888183593]","[9.538789367675781, 8.909956550598144, 8.534981155395508, 10.0, 9.262644577026368]",0.9340984298505355,0.23638598029357855,0.2,0.22454429746565804,0.10218786764847232,0.0829722209375,0.03913043478260869,0.048877628722717795
7,1,1,0.21327162,"[7.692613029479981, 10.0]",[0.        0.        0.5297297 0.        0.       ],[0.         0.01477833 0.00574713 0.         0.        ],[0. 0. 0. 0. 0.],"[0.041015625, 0.041015625, 0.0546875, 0.0546875, 0.0546875]","[0.0495147705078125, 0.0495147705078125, 0.0631866455078125, 0.0631866455078125, 0.0631866455078125]","[0.03191111236810684, 0.03191111236810684, 0.03263333439826965, 0.03263333439826965, 0.03263333439826965]",[0.02790539 0.02769196 0.03459423 0.03424809 0.03406264],0.027030112,0.017631851,"[10.0, 9.633633995056153, 7.784835243225098, 9.357580184936523, 7.287346267700196]","[10.0, 10.0, 7.179363250732422, 9.07905387878418, 7.600231170654297]",0.8021262544198593,0.22964861754045507,0.15414829600941055,0.11756756756756756,0.10486686361441296,0.1,0.05,0.04589490968801314
8,1,1,0.45899308,"[10.0, 10.0]",[0.02238806 0.         0.         0.         0.        ],[0.00260417 0.         0.         0.         0.00515464],[0.         0.         0.         0.         0.00515464],"[0.05908966064453125, 0.0634918212890625, 0.0634918212890625, 0.0634918212890625, 0.0634918212890625]","[0.06758880615234375, 0.071990966796875, 0.071990966796875, 0.071990966796875, 0.071990966796875]","[0.028111111372709274, 0.023588888347148895, 0.023588888347148895, 0.023588888347148895, 0.023588888347148895]",[0.03333378 0.03304199 0.03258722 0.03224257 0.03202944],0.030003693,0.020296803,"[8.758087730407714, 8.274307060241698, 8.914720726013183, 8.672832107543945, 10.0]","[8.921753120422363, 8.047264862060546, 8.896394157409668, 8.751704216003418, 10.0]",0.9001604006948439,0.23162849518701525,0.16605394007795948,0.24440298507462688,0.1096267415236273,0.1,0.0,0.04844823883161512
9,1,1,0.087249994,"[10.0, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.088653564453125, 0.0138702392578125, 0.0138702392578125, 0.0138702392578125, 0.0138702392578125]","[0.0971527099609375, 0.022369384765625, 0.022369384765625, 0.022369384765625, 0.022369384765625]","[0.024666666984558105, 0.0273777786642313, 0.0273777786642313, 0.0273777786642313, 0.0273777786642313]",[0.03150842 0.03119972 0.03098748 0.03081824 0.03069054],0.030772705,0.021512188,"[5.719529151916504, 6.668603134155274, 4.871131992340088, 6.807782173156738, 7.458868026733398]","[5.855146217346191, 6.229611778259278, 4.784778022766114, 6.981113243103027, 6.8273618698120115]",0.9134800098965464,0.1803066872631166,0.2,0.25,0.11045256013342962,0.07272076250000002,0.05,0.05
10,2,1,0.87014484,"[10.0, 10.0]",[0.         0.         0.13229571 0.         0.        ],[0.         0.00229358 0.00529101 0.0041841  0.        ],[0. 0. 0. 0. 0.],"[0.023590087890625, 0.023590087890625, 0.0016326904296875, 0.0016326904296875, 0.0016326904296875]","[0.0320892333984375, 0.0320892333984375, 0.0101318359375, 0.0101318359375, 0.0101318359375]","[0.027577778324484825, 0.027577778324484825, 0.02231111191213131, 0.02231111191213131, 0.02231111191213131]",[0.03000988 0.02957103 0.03119047 0.03084958 0.03061071],0.030191522,0.02115339,"[9.786377143859863, 9.05107822418213, 10.0, 10.0, 10.0]","[9.738514518737793, 9.603380393981933, 10.0, 10.0, 10.0]",0.9348752181963669,0.2461429599567056,0.2,0.2169260700389105,0.11022563639729731,0.06393428854166666,0.05,0.04764626326178666
