step,weightUpdates,episode,action,state/bandwidth,state/fractionLossRate,state/fractionNackRate,state/fractionPliRate,state/fractionQueueingRtt,state/fractionRtt,state/interarrivalRttJitter,state/lossRate,state/rttMean,state/rttStd,state/rxGoodput,state/txGoodput,reward/rew,reward/rate,reward/rtt,reward/plr,reward/jit,reward/smt,reward/pli,reward/nack
1,0,1,0.2739234,"[6.111382865905762, 5.968379783630371]",[0.03842454 0.         0.         0.         0.        ],[0.00013512 0.         0.00051282 0.00042735 0.        ],[1.9303156e-05 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00],"[0.010480440221726894, 0.011029756627976894, 0.005218505859375, 0.0216649379581213, 0.0204315185546875]","[0.02998117357492447, 0.03053048998117447, 0.02471923828125, 0.04116566851735115, 0.0399322509765625]","[0.02788119576871395, 0.030595727264881134, 0.03507436066865921, 0.03026851825416088, 0.030565740540623665]",[0.02578631 0.02283074 0.01763554 0.01453263 0.01245617],0.033034552,0.007939164,"[7.7326456069946286, 7.02966365814209, 6.858238601684571, 6.778953933715821, 6.367800331115723]","[7.549649429321289, 6.923452758789063, 6.417552375793457, 6.719216346740723, 6.395452117919922]",0.9363913947064832,0.19402588208188146,0.19988439371297648,0.24039386472109958,0.10249534435771261,0.1,0.049806968439339835,0.04978494139347339
2,0,1,-0.46042657,"[6.0894777297973635, 7.076570129394532]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.022308349609375, 0.022308349609375, 0.0117034912109375, 0.0117034912109375, 0.0117034912109375]","[0.04180908203125, 0.04180908203125, 0.0312042236328125, 0.0312042236328125, 0.0312042236328125]","[0.025955555960536003, 0.025955555960536003, 0.028044443577528, 0.028044443577528, 0.028044443577528]",[0.01125552 0.01113015 0.01097421 0.01085187 0.01076803],0.033394918,0.0077156764,"[6.8235012054443365, 3.6073760986328125, 4.037126064300537, 3.799312400817871, 3.019406986236572]","[6.4937025070190435, 3.4983619689941405, 3.879108619689941, 3.5408490180969237, 3.088357067108154]",0.8596543866710127,0.13124383813576382,0.1967939735477806,0.25,0.10970111664078024,0.07191545834668804,0.05,0.05
3,0,1,-0.918053,"[7.151576995849609, 8.236336135864258]",[0. 0. 0. 0. 0.],[0.         0.01923077 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.003662109375, 0.0009307861328125, 0.0009307861328125, 0.0009307861328125, 0.003753662109375]","[0.023162841796875, 0.0204315185546875, 0.0204315185546875, 0.0204315185546875, 0.02325439453125]","[0.028955556452274323, 0.02736666612327099, 0.02736666612327099, 0.02736666612327099, 0.028777778148651123]",[0.0106636  0.01062435 0.01059755 0.01057796 0.01054504],0.032351144,0.008101127,"[1.084309983253479, 0.9323800086975098, 1.1474390268325805, 1.1483489751815796, 0.8769879937171936]","[1.0662539958953858, 0.9255850076675415, 1.1535199880599976, 1.1457239866256714, 0.8304069995880128]",0.7483427043114361,0.02702856205538334,0.2,0.25,0.10869624714387323,0.06646404895833334,0.05,0.046153846153846156
4,0,1,-0.96694475,"[8.307636833190918, 9.61943187713623]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.010345458984375, 0.0051727294921875, 0.0, 0.0, 0.0]","[0.02325439453125, 0.0180816650390625, 0.012908935546875, 0.012908935546875, 0.012908935546875]","[0.028777778148651123, 0.026783334091305733, 0.024788888171315193, 0.024788888171315193, 0.024788888171315193]",[0.0104851  0.01045735 0.01043336 0.01041144 0.01039514],0.030920094,0.009062182,"[0.7728150010108947, 0.6362134933471679, 0.7289079904556275, 0.54271300137043, 0.8127680063247681]","[0.7723270177841186, 0.6261944949626923, 0.7152300119400025, 0.5710190057754516, 0.7849529981613159]",0.7719105455971673,0.01302015517935608,0.2,0.25,0.10889039041781108,0.1,0.05,0.05
5,1,1,0.6265404,"[9.759623718261718, 10.0]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0245361328125, 0.02398681640625, 0.02398681640625, 0.02398681640625, 0.0097808837890625]","[0.037445068359375, 0.036895751953125, 0.036895751953125, 0.036895751953125, 0.0226898193359375]","[0.026172222569584846, 0.027977777644991875, 0.027977777644991875, 0.027977777644991875, 0.025788888335227966]",[0.0101932  0.00995684 0.00972727 0.0095353  0.009456  ],0.031285334,0.008863928,"[4.566647052764893, 8.776921272277832, 7.958345985412597, 10.0, 8.405316162109376]","[4.339536476135254, 8.622079277038575, 7.761947059631348, 9.448710060119629, 8.732830047607422]",0.8783241066397307,0.21358532286464083,0.1804085982473273,0.25,0.10977562927776247,0.024554556249999995,0.05,0.05
6,1,1,0.8255112,"[5.593173789978027, 4.741945075988769]",[0.15435356 0.         0.0015015  0.         0.01212121],[0.         0.         0.00403596 0.         0.        ],[0. 0. 0. 0. 0.],"[0.07828521728515625, 0.070953369140625, 0.061065673828125, 0.056121826171875, 0.0457763671875]","[0.09119415283203125, 0.0838623046875, 0.073974609375, 0.06903076171875, 0.058685302734375]","[0.039722222834825516, 0.034388888627290726, 0.029292592778801918, 0.02674444392323494, 0.029403703287243843]",[0.02791804 0.03208117 0.0311797  0.03025261 0.02960964],0.037779663,0.018489722,"[8.549344635009765, 8.581434440612792, 9.867917442321778, 9.485978889465333, 8.652983474731446]","[8.70591926574707, 8.819711875915527, 9.676946449279786, 9.390740013122558, 8.531185150146484]",0.8676512903908475,0.2334562258927356,0.1400301202997431,0.20800593109300233,0.098279597836057,0.08868660711805557,0.05,0.04919280815125392
7,1,1,0.21327162,"[4.811792945861817, 5.581452751159668]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0406036376953125, 0.062286376953125, 0.0462188720703125, 0.0462188720703125, 0.0462188720703125]","[0.0535125732421875, 0.0751953125, 0.0591278076171875, 0.0591278076171875, 0.0591278076171875]","[0.03073333390057087, 0.03208889067173004, 0.030811110511422157, 0.030811110511422157, 0.030811110511422157]",[0.02869024 0.02831603 0.0279903  0.02786757 0.02765691],0.039223235,0.018947696,"[9.362951469421386, 6.891851043701172, 8.725810241699218, 7.370729064941407, 7.292250061035157]","[8.9716064453125, 6.91570053100586, 8.56591796875, 7.7820531845092775, 7.3543897628784185]",0.9573098664651769,0.2133428342163371,0.2,0.25,0.1054130063807841,0.08855402586805555,0.05,0.05
8,1,1,0.45899308,"[5.626738166809083, 6.267098045349122]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0451507568359375, 0.0440826416015625, 0.02362060546875, 0.02362060546875, 0.0145263671875]","[0.0580596923828125, 0.0569915771484375, 0.036529541015625, 0.036529541015625, 0.027435302734375]","[0.030972221866250038, 0.03113333322107792, 0.030277777463197708, 0.030277777463197708, 0.026011111214756966]",[0.02705628 0.02663911 0.02628563 0.02596637 0.02569549],0.039622027,0.018582633,"[8.959982681274415, 9.35400676727295, 7.616506958007813, 9.047628402709961, 9.686541175842285]","[8.581896209716797, 9.419144248962402, 7.38554573059082, 8.318413734436035, 9.426758003234863]",0.9777143986519228,0.2317868944599691,0.2,0.25,0.10638807502528694,0.08953942916666667,0.05,0.05
9,1,1,0.087249994,"[6.32086524963379, 7.372081184387207]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0145263671875, 0.0145263671875, 0.0702667236328125, 0.0702667236328125, 0.0702667236328125]","[0.027435302734375, 0.027435302734375, 0.0831756591796875, 0.0831756591796875, 0.0831756591796875]","[0.026011111214756966, 0.026011111214756966, 0.029544444754719734, 0.029544444754719734, 0.029544444754719734]",[0.02520522 0.0249486  0.02466059 0.02445865 0.0243467 ],0.04055142,0.01961104,"[8.09453010559082, 6.9227804183959964, 5.8920190811157225, 6.949227142333984, 7.305513763427735]","[7.675060653686524, 7.451404762268067, 5.785100936889648, 6.496018791198731, 7.36372184753418]",0.9059868662599817,0.19565464113982253,0.17206556532118056,0.25,0.10805956604897846,0.08020709375000001,0.05,0.05
10,2,1,0.87014484,"[7.4290361404418945, 8.594818878173829]",[0. 0. 0. 0. 0.],[0.         0.00440529 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.0359954833984375, 0.0359954833984375, 0.0359954833984375, 0.0359954833984375, 0.03643798828125]","[0.0489044189453125, 0.0489044189453125, 0.0489044189453125, 0.0489044189453125, 0.049346923828125]","[0.031788889318704605, 0.031788889318704605, 0.031788889318704605, 0.031788889318704605, 0.026533333584666252]",[0.02383324 0.02345616 0.02315172 0.02299132 0.02284287],0.040966302,0.019208198,"[7.547115707397461, 9.827788162231446, 10.0, 10.0, 10.0]","[7.946271324157715, 9.327351760864257, 10.0, 9.807707214355469, 10.0]",0.970601013175316,0.24120448551167423,0.2,0.25,0.10571682034903095,0.07456076458333333,0.05,0.04911894273127754
11,2,1,0.50244045,"[8.687256240844727, 5.942299270629883]",[0.08501118 0.         0.         0.00497512 0.        ],[0.001001   0.00327869 0.         0.00165017 0.        ],[0. 0. 0. 0. 0.],"[0.0354054756462574, 0.0361785888671875, 0.0385487861931324, 0.0378621406853199, 0.03411865234375]","[0.0483144111931324, 0.0490875244140625, 0.0514577217400074, 0.0507710762321949, 0.047027587890625]","[0.02827407419681549, 0.029711110517382622, 0.03142222389578819, 0.030848147347569466, 0.027988888323307037]",[0.02307989 0.02481605 0.02432729 0.02390745 0.02364493],0.04173181,0.01849852,"[9.821283912658691, 9.25762119293213, 9.255587577819824, 9.36648769378662, 7.940914344787598]","[9.755658912658692, 9.043179512023926, 9.422759437561036, 9.168578720092773, 7.848542785644531]",0.9634934104983133,0.2352236283795432,0.195861327342498,0.22750342248489097,0.10609100319979971,0.1,0.05,0.04881402909158144
12,2,1,-0.6027329,"[6.034471130371094, 7.519639015197754]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0130615234375, 0.01566314697265625, 0.0182647705078125, 0.013702392578125, 0.013702392578125]","[0.025970458984375, 0.02857208251953125, 0.0311737060546875, 0.026611328125, 0.026611328125]","[0.03661110997200012, 0.0345444455742836, 0.03247777745127678, 0.028277777135372162, 0.028277777135372162]",[0.02297964 0.02275039 0.02266563 0.02259115 0.02251047],0.04080246,0.01822692,"[9.017249488830567, 4.627188587188721, 3.301967906951904, 2.774005031585693, 2.71489200592041]","[8.800758743286133, 4.831011867523194, 3.2773719787597653, 2.6511690139770505, 2.6651994705200193]",0.8399660618117969,0.13725186430254324,0.2,0.25,0.10106126278703137,0.051652934722222224,0.05,0.05
13,2,1,-0.6672253,"[7.60109691619873, 6.416513252258301]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.01849365234375, 0.01849365234375, 0.01849365234375, 0.0419464111328125, 0.0419464111328125]","[0.031402587890625, 0.031402587890625, 0.031402587890625, 0.0548553466796875, 0.0548553466796875]","[0.02566666714847088, 0.02566666714847088, 0.02566666714847088, 0.02383333258330822, 0.02383333258330822]",[0.02229717 0.02221715 0.02214445 0.02207921 0.02200934],0.0408014,0.017913938,"[2.6734960079193115, 2.5695434570312496, 2.50802903175354, 2.5078284740448, 2.440194034576416]","[2.635817050933838, 2.507800436019897, 2.5341570377349854, 2.4026970386505124, 2.3068949699401853]",0.8102431660440985,0.08106396520091876,0.1870129429014389,0.25,0.11245003328896282,0.07971622465277778,0.05,0.05
14,2,1,-0.09838545,"[6.476045989990235, 7.928916931152344]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0456390380859375, 0.0456390380859375, 0.0320281982421875, 0.0184173583984375, 0.0184173583984375]","[0.0585479736328125, 0.0585479736328125, 0.0449371337890625, 0.0313262939453125, 0.0313262939453125]","[0.03211111202836037, 0.03211111202836037, 0.029716666787862778, 0.02732222154736519, 0.02732222154736519]",[0.0218227  0.02168812 0.02155851 0.02142231 0.02130703],0.04111578,0.017733378,"[2.2873026847839353, 3.8667910575866697, 5.163955402374268, 5.062005996704102, 4.582699108123779]","[2.333686017990112, 3.937054920196533, 5.337762260437012, 4.778415393829346, 4.579087638854981]",0.86163327899905,0.12952277870625734,0.19393588126973904,0.25,0.10539058395360908,0.08278403506944446,0.05,0.05
15,3,1,-0.8894195,"[8.027154731750487, 7.168572044372559]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0475921630859375, 0.0332794189453125, 0.0332794189453125, 0.0245208740234375, 0.0157623291015625]","[0.0605010986328125, 0.0461883544921875, 0.0461883544921875, 0.0374298095703125, 0.0286712646484375]","[0.03198888897895813, 0.03328888863325119, 0.03328888863325119, 0.03395555540919304, 0.03462222218513489]",[0.02098558 0.02095611 0.02092071 0.02088892 0.02086171],0.041314993,0.017495906,"[3.674642467498779, 1.1940880060195922, 1.4140505313873293, 1.1191055297851562, 1.150488018989563]","[3.3603473663330075, 1.2034730195999146, 1.3818060159683228, 1.1295165061950683, 1.15415198802948]",0.7796500283786058,0.05267843016417425,0.19990096503707966,0.25,0.10292559081624071,0.07414504236111112,0.05,0.05
16,3,1,-0.5948354,"[7.246784973144531, 6.905426025390625]",[0. 0. 0. 0. 0.],[0.         0.         0.01111111 0.         0.        ],[0. 0. 0. 0. 0.],"[0.0150146484375, 0.015228271484375, 0.01641337014734745, 0.0187835693359375, 0.02179463766515255]","[0.027923583984375, 0.02813720703125, 0.02932230569422245, 0.0316925048828125, 0.0347035713493824]","[0.027799999341368675, 0.02832222171127796, 0.02840370312333107, 0.028566665947437286, 0.02920370362699032]",[0.02077402 0.02072569 0.02067905 0.02060083 0.02050567],0.04053958,0.01711465,"[1.0583553552627563, 1.0480556726455688, 1.087999701499939, 2.144479274749756, 2.795514631271362]","[1.0383453607559203, 1.0700966358184814, 1.0318683624267577, 2.1475053787231446, 2.8214536666870114]",0.8058345831651164,0.04963003395252616,0.2,0.25,0.10842677143481234,0.1,0.05,0.04777777777777778
17,3,1,-0.87758136,"[6.978619003295899, 8.902013206481934]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0331573486328125, 0.0331573486328125, 0.0331573486328125, 0.0331573486328125, 0.0331573486328125]","[0.0460662841796875, 0.0460662841796875, 0.0460662841796875, 0.0460662841796875, 0.0460662841796875]","[0.0269333329051733, 0.0269333329051733, 0.0269333329051733, 0.0269333329051733, 0.0269333329051733]",[0.02003304 0.02000825 0.01998352 0.0199698  0.0199552 ],0.040666923,0.01693664,"[2.683293008804321, 2.4557149410247803, 1.381393027305603, 1.346305012702942, 1.173583984375]","[2.6750770092010496, 2.4276999473571776, 1.3064470291137695, 1.3680650234222411, 1.1763880014419557]",0.7987419976057312,0.05619057000842524,0.18158987018919212,0.25,0.11096155740811373,0.1,0.05,0.05
18,3,1,0.11639297,"[8.989447784423827, 6.0127502441406255]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.0192413330078125, 0.0274505615234375, 0.0356597900390625, 0.0356597900390625, 0.03957366943359375]","[0.0321502685546875, 0.0403594970703125, 0.0485687255859375, 0.0485687255859375, 0.05248260498046875]","[0.026188889518380165, 0.02936111018061638, 0.03253333270549774, 0.03253333270549774, 0.03225555643439293]",[0.01988271 0.01978273 0.01968369 0.01953594 0.01941039],0.04083252,0.016669873,"[1.3304530143737794, 4.466081523895264, 4.539988613128663, 6.810512733459473, 6.089920616149903]","[1.2782314777374268, 4.640847110748291, 4.877884578704834, 6.023079681396484, 6.218917274475098]",0.8665951147947434,0.1413612258794247,0.19984359741210939,0.25,0.10496667900320919,0.0704236125,0.05,0.05
19,3,1,0.221362,"[6.061067771911621, 7.037327766418457]",[0.         0.         0.         0.         0.08798283],[0.         0.00196078 0.00413223 0.         0.        ],[0. 0. 0. 0. 0.],"[0.043487548828125, 0.0426177978515625, 0.0426177978515625, 0.0426177978515625, 0.0474853515625]","[0.056396484375, 0.0555267333984375, 0.0555267333984375, 0.0555267333984375, 0.060394287109375]","[0.03197777643799782, 0.03433333337306976, 0.03433333337306976, 0.03433333337306976, 0.030133333057165146]",[0.01907433 0.0189506  0.0188131  0.01870145 0.0194235 ],0.041500945,0.016626861,"[5.196201133728027, 6.349858856201172, 7.159396171569824, 6.64554557800293, 7.506831359863281]","[5.476534461975098, 6.482806015014648, 7.76377124786377, 5.967142677307129, 6.805268478393555]",0.8761453530856171,0.1860354487952412,0.18016514516580961,0.22800429184549356,0.10320256417280964,0.07995650625,0.05,0.04878139685626317
20,4,1,-0.010381877,"[7.126164245605469, 8.583026885986328]",[0. 0. 0. 0. 0.],[0.00333333 0.         0.         0.         0.0030303 ],[0. 0. 0. 0. 0.],"[0.0493927001953125, 0.051300048828125, 0.0441131591796875, 0.0441131591796875, 0.0441131591796875]","[0.0623016357421875, 0.064208984375, 0.0570220947265625, 0.0570220947265625, 0.0570220947265625]","[0.030222222208976746, 0.030311111360788345, 0.027522223070263863, 0.027522223070263863, 0.027522223070263863]",[0.01909422 0.01897983 0.01887419 0.01877241 0.01865619],0.042230275,0.016681977,"[6.470768547058106, 6.154052734375, 6.002926635742187, 5.309538841247559, 5.848601913452149]","[6.531196784973145, 5.7330566406250005, 5.996927642822266, 5.3858640670776365, 5.981358528137207]",0.9171076209687583,0.17261920483219742,0.18851626006215208,0.25,0.1072448833471361,0.1,0.05,0.04872727272727273
21,4,1,-0.52013963,"[8.650668907165528, 6.694562911987305]",[0. 0. 0. 0. 0.],[0.         0.00197239 0.         0.         0.        ],[0. 0. 0. 0. 0.],"[0.01495361328125, 0.02195231057703495, 0.0, 0.0015157064190134406, 0.0035451252479106188]","[0.018157958984375, 0.02515665628015995, 0.003204345703125, 0.0047200522385537624, 0.0067494711838662624]","[0.03177777677774429, 0.03435925766825676, 0.032188888639211655, 0.031211111694574356, 0.030259259045124054]",[0.01831472 0.01817455 0.01805199 0.01795917 0.01787511],0.0404765,0.01794093,"[6.490110206604004, 6.134590911865234, 4.735823345184326, 3.2346969604492184, 3.1736232757568357]","[6.177046203613282, 5.815497016906739, 4.506647109985352, 3.1170153617858887, 3.089545249938965]",0.8842985966901051,0.14405094063045473,0.2,0.25,0.1031776406688713,0.08746449270833334,0.05,0.04960552268244576
22,4,1,0.20623684,"[6.797880744934083, 8.312708854675293]",[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],"[0.00795745849609375, 0.00982666015625, 0.00982666015625, 0.0139007568359375, 0.017974853515625]","[0.01116180419921875, 0.013031005859375, 0.013031005859375, 0.0171051025390625, 0.02117919921875]","[0.029338888823986053, 0.02934444509446621, 0.02934444509446621, 0.032394442707300186, 0.03544444590806961]",[0.01772214 0.01762424 0.01751952 0.01740358 0.01730868],0.0395436,0.018261194,"[3.199794483184814, 6.129030227661133, 6.230493545532227, 8.029923057556152, 5.793614768981934]","[3.1573909759521483, 6.364575958251954, 6.122619247436524, 7.471548652648926, 5.893927383422851]",0.9112545628320519,0.17080436249640668,0.2,0.25,0.10214605554397839,0.08830414479166666,0.05,0.05
23,4,1,0.68807733,"[8.39112606048584, 5.4193311691284185]",[0.         0.         0.         0.17008197 0.        ],[0.         0.00235849 0.00231481 0.         0.        ],[0. 0. 0. 0. 0.],"[0.02880859375, 0.02880859375, 0.02880859375, 0.032501220703125, 0.032501220703125]","[0.032012939453125, 0.032012939453125, 0.032012939453125, 0.03570556640625, 0.03570556640625]","[0.02930000051856041, 0.02930000051856041, 0.02930000051856041, 0.035055555403232574, 0.035055555403232574]",[0.01701725 0.01687536 0.01674245 0.01810465 0.01797822],0.03934183,0.01800328,"[7.921517753601075, 9.311469078063965, 8.20072898864746, 9.240558624267578, 10.0]","[7.970448684692383, 9.159203147888183, 9.716052627563476, 9.25853672027588, 9.767612838745118]",0.8935593547482156,0.23182091856667145,0.184537552259995,0.2074795081967213,0.10251315971766495,0.06814287708333334,0.05,0.04906533892382949
24,4,1,-0.24352229,"[5.499581146240234, 6.917222023010254]",[0. 0. 0. 0. 0.],[0.00205761 0.         0.         0.         0.        ],[0.         0.         0.00446429 0.         0.        ],"[0.02071634866297245, 0.022308349609375, 0.022308349609375, 0.025482177734375, 0.028656005859375]","[0.02392069436609745, 0.0255126953125, 0.0255126953125, 0.0286865234375, 0.0318603515625]","[0.029088888317346573, 0.026088889688253403, 0.026088889688253403, 0.026722222566604614, 0.027355555444955826]",[0.01763067 0.01748526 0.01739663 0.01732949 0.01726931],0.03882414,0.017819984,"[8.793194770812988, 7.247837829589844, 4.444740581512451, 5.044861602783203, 3.7082566261291503]","[8.653583145141601, 6.835689163208008, 4.479082012176514, 5.091800403594971, 3.725056552886963]",0.851492695609107,0.17015288824339003,0.2,0.25,0.10855123644787458,0.06784295069444445,0.005357142857142861,0.04958847736625515
