time/time_elapsed,train/learning_rate,time/fps,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/n_updates,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/critic_loss
609,0.00067214,0,-3.4475479125976562,50.0,200,189,4,0.10000000149011612,45.90176675,0.0034558733459562063
1226,0.00064414,0,-6.892390727996826,50.0,400,389,8,0.10000000149011612,45.932528000000005,0.004735836759209633
1839,0.0006161399999999999,0,-10.517460823059082,50.0,600,589,12,0.10000000149011612,45.92701466666667,0.00420036306604743
2455,0.00058814,0,-14.131657600402832,50.0,800,789,16,0.10000000149011612,45.942355625000005,0.005727954208850861
3075,0.00056014,0,-17.837158203125,50.0,1000,989,20,0.10000000149011612,45.9644916,0.00804313737899065
3690,0.00053214,0,-21.56262969970703,50.0,1200,1189,24,0.10000000149011612,46.009934791666666,0.0077811190858483315
4312,0.0005041399999999999,0,-25.160900115966797,50.0,1400,1389,28,0.10000000149011612,46.04752189285715,0.02147527039051056
4928,0.00047614,0,-28.9074649810791,50.0,1600,1589,32,0.10000000149011612,46.08989203125,0.010452888906002045
5544,0.00044814,0,-32.565914154052734,50.0,1800,1789,36,0.10000000149011612,46.12636172222223,0.011603259481489658
6159,0.00042014000000000005,0,-36.286651611328125,50.0,2000,1989,40,0.10000000149011612,46.147994125000004,0.024392930790781975
6773,0.00039214,0,-39.87065124511719,50.0,2200,2189,44,0.10000000149011612,46.15072915909091,0.009924651123583317
7387,0.00036414,0,-43.56103515625,50.0,2400,2389,48,0.10000000149011612,46.1424255,0.018963899463415146
8002,0.00033613999999999996,0,-47.24260711669922,50.0,2600,2589,52,0.10000000149011612,46.14934207692308,0.01279577799141407
8612,0.00030814000000000004,0,-50.870506286621094,50.0,2800,2789,56,0.10000000149011612,46.165776,0.006421026773750782
9224,0.00028014,0,-54.461204528808594,50.0,3000,2989,60,0.10000000149011612,46.19098228333334,0.006848870776593685
9840,0.00025214,0,-58.091426849365234,50.0,3200,3189,64,0.10000000149011612,46.191645453125005,0.006622799672186375
10454,0.00022414000000000003,0,-61.68157958984375,50.0,3400,3389,68,0.10000000149011612,46.18109216176472,0.014159183949232101
11072,0.00019614,0,-65.25871276855469,50.0,3600,3589,72,0.10000000149011612,46.173895027777775,0.006086748093366623
11697,0.00016813999999999997,0,-68.84417724609375,50.0,3800,3789,76,0.10000000149011612,46.18045002631579,0.005989637225866318
12309,0.00014014000000000002,0,-72.37705993652344,50.0,4000,3989,80,0.10000000149011612,46.1826259,0.008239827118813992
12925,0.00011214000000000001,0,-75.92623138427734,50.0,4200,4189,84,0.10000000149011612,46.1818050952381,0.014506637118756771
13549,8.413999999999998e-05,0,-79.45457458496094,50.0,4400,4389,88,0.10000000149011612,46.174609636363634,0.0050110723823308945
14163,5.6140000000000035e-05,0,-82.91282653808594,50.0,4600,4589,92,0.10000000149011612,46.17090822826087,0.006708703935146332
14777,2.814000000000001e-05,0,-86.41698455810547,50.0,4800,4789,96,0.10000000149011612,46.18291045833333,0.0075705088675022125
