time/total_timesteps,time/fps,train/n_updates,time/time_elapsed,train/actor_loss,train/ent_coef,train/learning_rate,train/critic_loss,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean
200,0,189,587,-3.563505172729492,0.10000000149011612,0.00067214,0.0025295764207839966,50.0,4,47.140756
400,0,389,1177,-7.082261085510254,0.10000000149011612,0.00064414,0.00436397735029459,50.0,8,47.2497965
600,0,589,1770,-10.781394958496094,0.10000000149011612,0.0006161399999999999,0.007492752280086279,50.0,12,47.25247316666667
800,0,789,2359,-14.508318901062012,0.10000000149011612,0.00058814,0.005195559002459049,50.0,16,47.254658625000005
1000,0,989,2955,-18.104961395263672,0.10000000149011612,0.00056014,0.02106720395386219,50.0,20,47.274233100000004
1200,0,1189,3547,-21.971303939819336,0.10000000149011612,0.00053214,0.008187838830053806,50.0,24,47.275973625000006
1400,0,1389,4136,-25.747249603271484,0.10000000149011612,0.0005041399999999999,0.011729985475540161,50.0,28,47.31356989285714
1600,0,1589,4733,-29.50342559814453,0.10000000149011612,0.00047614,0.028544683009386063,50.0,32,47.35908709375
1800,0,1789,5331,-33.293617248535156,0.10000000149011612,0.00044814,0.01159878820180893,50.0,36,47.39226161111112
2000,0,1989,5928,-37.029239654541016,0.10000000149011612,0.00042014000000000005,0.014964008703827858,50.0,40,47.36681384999999
2200,0,2189,6531,-40.66320037841797,0.10000000149011612,0.00039214,0.011908510699868202,50.0,44,47.37788006818182
2400,0,2389,7125,-44.48079299926758,0.10000000149011612,0.00036414,0.010371958836913109,50.0,48,47.35781910416666
2600,0,2589,7720,-48.18024826049805,0.10000000149011612,0.00033613999999999996,0.011530835181474686,50.0,52,47.34916273076922
2800,0,2789,8317,-51.86528778076172,0.10000000149011612,0.00030814000000000004,0.010631770826876163,50.0,56,47.37109378571428
3000,0,2989,8905,-55.57244873046875,0.10000000149011612,0.00028014,0.01651623100042343,50.0,60,47.381150766666664
3200,0,3189,9503,-59.25814437866211,0.10000000149011612,0.00025214,0.01058417558670044,50.0,64,47.37115490625
3400,0,3389,10093,-62.9053955078125,0.10000000149011612,0.00022414000000000003,0.011896712705492973,50.0,68,47.37189204411764
3600,0,3589,10705,-66.57933807373047,0.10000000149011612,0.00019614,0.011582767590880394,50.0,72,47.373398708333326
3800,0,3789,11301,-70.20059204101562,0.10000000149011612,0.00016813999999999997,0.011438589543104172,50.0,76,47.39954075
4000,0,3989,11898,-73.84059143066406,0.10000000149011612,0.00014014000000000002,0.009966261684894562,50.0,80,47.409347374999996
4200,0,4189,12490,-77.48637390136719,0.10000000149011612,0.00011214000000000001,0.008896004408597946,50.0,84,47.39990623809524
4400,0,4389,13084,-81.04582214355469,0.10000000149011612,8.413999999999998e-05,0.014818263240158558,50.0,88,47.40637320454545
4600,0,4589,13674,-84.639892578125,0.10000000149011612,5.6140000000000035e-05,0.017053576186299324,50.0,92,47.42133035869565
4800,0,4789,14269,-88.20519256591797,0.10000000149011612,2.814000000000001e-05,0.01896659843623638,50.0,96,47.42629171875
