Folder,action,bandwidth,fractionLossRates,fractionNackrate,fractionPliRate,fractionQueueingRtt,fractionRtt,interarrivalRttJitter,lossRate,rttMean,rttStd,rxGoodput,txGoodput,,
"rewardRate = 0.00, nack = 0.0",0.0,0.0,0.04335354133511133,0.0,0.00011488294193735967,0.5246757712346779,0.459024235781829,0.2419837258978048,0.0,0.39385714569852653,0.42776265102329913,0.0,0.0,4 – 2,2
rewardRate = 0.10,0.3174892570113007,0.603256864305576,0.2650410741815295,0.3337616894780094,0.24943480416565736,0.375638167364466,0.3701102507026441,0.0,0.030891524096349442,0.31124076991440924,0.18793358179828867,0.42498130248768207,0.4104308557932497,6 – 2,4
rewardRate = 0.10 - new,0.5745061879200901,1.0,0.8751281476485605,1.0,0.49483782699751644,0.5622423577004301,0.5454481451853501,0.4369888925297949,0.641022834183388,0.503840742315549,0.39977973226880215,0.9571793344788809,0.9570493231054139,2 – 2,0
rewardRate = 0.10 - sens,0.5839314537021777,0.4466052670006738,0.15675291966303379,0.2028215436314499,0.29034341179955947,0.4903503599146205,0.4398272490906617,0.7473948088601996,0.17768287330662919,0.3550688248741405,0.5843091108232348,0.7165835158462605,0.700278542809295,2 – 0,2
"rewardRate = 0.10, bandwidth=15.0",0.03892601942721935,0.6326230291371442,0.0,0.03712968077758336,0.0,0.40463291245425165,0.4055317202385605,0.2164843354012344,0.014099886424283253,0.3472934823089383,0.10832397177819453,0.031482703488798176,0.02592662474914513,7 – 2,5
"rewardRate = 0.10, bandwidth=30.0 + 6.0, jitter = 0.3, extra_gcc",0.34337205762282563,0.6508637262146669,0.5535889874020757,0.37219023115001465,8.221162268449079e-05,1.0,1.0,0.8494451176959976,0.9594129888778292,1.0,1.0,0.5259313855691337,0.5228586680740316,1 – 6,-5
"rewardRate = 0.10, bandwidth=30.0, jitter = 0.3, extra_gcc",0.14332856913554753,0.7630019215177299,0.40267613292430515,0.49822203986573244,0.07225484441587343,0.7539609532799059,0.930867813601434,0.2773494030906486,0.29503238769320034,0.9677119230945878,0.6276667362651217,0.45696126742540893,0.4577304205153763,1 – 2,-1
"rewardRate = 0.10, bandwidth=40.0, jitter = 0.3, extra_gcc",0.28848979390058865,0.5362690497038205,0.4653783052378318,0.5096298183023669,0.22187061290752366,0.7711172215871446,0.741552408102437,0.3667898282414232,0.4999621973039976,0.6925201722932787,0.8996960700394997,0.6116061323491553,0.5794657295929543,0 – 1,-1
"rewardRate = 0.10, jitter = 0.4, pli = 0.1, nack = 0,1",0.5774816008602834,0.8800811778026015,0.3304959961009065,0.4571416851179468,0.10955623575831752,0.4251817249661949,0.3793289048759406,0.21367984775571547,0.17212043603222552,0.33472120735816274,0.2532718973109145,0.8305536774113152,0.808204143999643,2 – 0,2
"rewardRate = 0.10, pli = 0.1, nack = 0.1",0.7165063049255027,0.8893037775220982,0.8047559044153957,0.8490206961181149,0.9535145026585876,0.6207635184470522,0.6108609144705768,0.3029418824952519,0.36717634535120147,0.527288261365129,0.7904598215631911,0.9381782811484467,0.9309185623801239,2 – 2,0
"rewardRate = 0.10, pli = 0.1, nack = 0.1, jitter = 0.3, plr = 0.3",0.7412495438314969,0.6312951064941682,0.4080649555302119,0.5837422044243734,0.3090448603475762,0.5002944951783012,0.4228484655222513,0.1537697723092181,0.273397488259152,0.37560073512601716,0.30190316299295084,0.9425985031238159,0.9373553040065146,3 – 0,3
rewardRate = 0.15,0.7449572493944453,0.8762098987324255,0.530835354312653,0.45140889627173775,0.18618050740542097,0.6138604521656328,0.5429265015727301,0.4642576480719062,0.570203233784682,0.40622636785577393,0.20376599705657347,0.991263615800934,0.9937291582391784,2 – 0,2
rewardRate = 0.20,0.7736323214268253,0.9652791601174383,0.5116103827223927,0.36866790879032657,0.1808893632010614,0.5875170048169772,0.5521022663774611,0.7749390207895263,0.3662384371117105,0.5121272939564663,0.3776584504077967,0.9812501573272331,0.980859253542196,2 – 1,1
rewardRate = 0.25,1.0,0.9299532288465664,0.3085168555484239,0.3503537932118678,0.18064621487814866,0.0,0.0,0.2598955156860871,0.22837229115698404,0.0,0.0,0.9615722323736496,0.9621824789587732,6 – 0,6
rewardRate = 0.25 - new,0.9217498113586349,0.8878500014913238,0.7472909579264716,0.5476280506596253,0.15853947110988703,0.6602894802230033,0.6453319901299613,0.623698912607153,0.6761467223279177,0.595674033617706,0.49411374333880026,1.0,1.0,2 – 0,2
rewardRate = 0.25 - sens,0.7160392120892028,0.8865244678676112,0.6857209734938665,0.5114223802842733,0.023964568043375264,0.5323873639238553,0.5434658066001417,0.5608606099984905,0.6429158080621372,0.5438343664750434,0.7436815483766169,0.9173784047397892,0.9053229350116063,3 – 0,3
"rewardRate = 0.25, bandwidth=30.0 + 6.0, jitter = 0.3, extra_gcc",0.7710470495385441,0.6166454527431473,0.6691784990064095,0.7492961195387794,1.0,0.8543326460595744,0.8888582939114028,0.32765943580480245,0.7487733168330397,0.842231425386015,0.8847790479419052,0.9776238257552035,0.9749411620445573,2 – 3,-1
"rewardRate = 0.25, bandwidth=30.0, jitter = 0.3, extra_gcc",0.7447347741091632,0.63840220758161,0.8852444172636235,0.789784195328072,0.4126771563096741,0.829228791110874,0.9650024535392953,0.2395858274371244,1.0,0.9460066494942669,0.7161311660029136,0.9182298253858768,0.9150334733778345,2 – 5,-3
"rewardRate = 0.25, bandwidth=40.0, jitter = 0.3, extra_gcc",0.8357518698127356,0.75150588723611,1.0,0.8815248061224112,0.766563097903424,0.7317314359444549,0.8477958600050592,0.29570812814275177,0.8183334577746776,0.8173486596222346,0.5535179769033726,0.9632088037992939,0.9645601208598432,2 – 3,-1
rewardRate = 0.30,0.9777681987134565,0.7801300781786544,0.708795842132184,0.42468434755337003,0.6637568527218205,0.591990981891536,0.5992293818601591,1.0,0.9950032411789869,0.5426211228611437,0.3002343793776509,0.9998742949555448,0.9995459620467114,2 – 2,0
